Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
GNI, at current prices (UVGN);National currency:;Belgium;Mrd EURO-BEF;;612.5446;585.0014;556.1164;506.9598;464.5178;483.2754;464.1226;449.13;434.2106;422.5988;411.4594;402.5586;395.1358;376.5693;368.7138;352.9159;360.2984;348.3987;329.8276;313.9109;300.9412;286.5695;277.9782;269.2795;262.9837;247.9521;238.2734;229.5547;219.271;215.1113;208.0824;195.9253;188.3781;179.4389;170.6342;160.7222;148.6705;138.9753;133.1809;127.1311;119.1814;110.0764;103.9557;96.5232;91.8382;85.3834;79.9766;74.6523;69.1564;60.7715;54.7421;47.0607;41.4156;37.2864;34.3278;30.8157;27.7928;25.9849;24.2365;22.5675;20.6578;18.4709;17.1965;16.0983;15.1728
GNI, at current prices (UVGN);National currency:;Bulgaria;Mrd BGN;;172.7182;162.6859;154.568;134.3604;116.3047;115.2879;104.7053;102.3682;93.8852;86.7953;83.0313;80.0571;80.9413;78.2211;73.2136;71.6184;69.652;59.2604;51.9023;46.6053;41.4236;36.944;34.5871;30.8243;27.2735;24.5619;25.6794;18.2009;1.9317;1.2602;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Czechia;Mrd CZK;;7583.44;7066.169;6534.061;5834.972;5424.464;5441.463;5113.719;4821.381;4473.262;4308.149;4047.45;3879.664;3825.992;3734.479;3693.948;3681.334;3796.564;3610.981;3311.134;3133.797;2933.359;2728.527;2594.203;2506.491;2339.878;2211.185;2124.817;1941.417;1802.008;1583.861;1373.782;1200.321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Denmark;Mrd DKK;;2979.006;2865.28;2748.629;2590.796;2399.003;2377.922;2315.916;2240.963;2159.62;2098.866;2053.229;1990.778;1937.794;1885.798;1840.547;1739.327;1821.561;1747.575;1702.638;1598.768;1507.852;1423.89;1392.723;1351.297;1296.707;1228.443;1169.118;1125.398;1066.712;1017.782;970.94;906.486;896.667;862.986;830.482;799.775;759.859;732.8;695.323;646.048;596.349;543.134;491.858;433.774;398.09;370.768;336.462;301.894;271.309;233.795;209.212;188.168;161.939;142.002;128.459;116.165;101.713;91.407;83.02;75.607;67.322;58.893;55.368;49.116;44.332
GNI, at current prices (UVGN);National currency:;Germany;Mrd EURO-DEM;;4441.224;4229.553;3988.082;3729.498;3505.697;3590.147;3478.91;3345.005;3212.504;3095.143;2986.082;2876.449;2811.18;2762.535;2615.84;2500.874;2570.665;2535.845;2425.419;2307.203;2276.187;2189.106;2174.801;2157.28;2097.226;2045.234;2002.895;1957.405;1921.656;1892.016;1830.687;1762.243;1717.115;1601.392;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Estonia;Mrd EURO-EEK;;40.3059;38.33219;35.55577;30.89941;27.15758;27.24242;25.38288;23.24741;21.26411;20.17796;19.47763;18.45258;17.17318;15.82546;13.9485;13.70116;15.74926;15.33923;12.89993;10.92247;9.30906;8.28223;7.47458;6.67107;5.94504;5.30869;5.02343;4.4406;3.67817;2.86204;2.05764;1.50369;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GNI, at current prices (UVGN);National currency:;Ireland;Mrd EURO-IEP;;433.5131;411.9429;385.3278;323.1708;283.7364;276.7064;252.522;235.7454;219.9699;202.0005;164.5699;151.3288;141.5579;139.3541;140.1704;141.6164;162.1164;170.3759;162.161;147.4932;134.8775;125.5046;114.0209;104.2925;94.5811;80.9318;72.3904;62.8677;55.3747;50.131;45.136;41.7763;38.5088;36.7099;35.2329;32.5035;29.4613;27.8549;25.9799;24.4011;22.7447;20.9379;19.1535;16.6858;13.8366;11.7295;10.0218;8.5795;7.0822;5.8255;4.6138;4.1639;3.4789;2.8844;2.5297;2.2505;1.9594;1.7312;1.5861;1.5106;1.4104;1.2416;1.1566;1.0702;0.993
GNI, at current prices (UVGN);National currency:;Greece;Mrd EURO-GRD;;233.3518;223.9992;209.734;180.881;164.6001;181.7024;177.5781;176.0165;173.6442;176.2253;178.3865;179.8778;189.9569;197.6725;219.1662;232.2614;234.7828;226.6995;213.8185;196.8021;192.6374;178.2775;164.8724;152.9568;142.7062;135.6095;127.1263;116.6349;104.8046;95.4047;85.0999;74.8272;66.8788;57.7758;46.5982;38.2248;32.1884;26.4619;23.4065;19.6997;16.2359;13.1612;11.1302;8.9004;7.4669;6.1958;4.9852;4.1042;3.5012;2.8065;2.3431;2.0211;1.5468;1.3369;1.1976;1.0595;0.9221;0.8458;0.7829;0.7024;0.611;0.5391;0.4762;0.4535;0.3958
GNI, at current prices (UVGN);National currency:;Spain;Mrd EURO-ESP;;1446.47;1385.127;1313.343;1213.175;1120.725;1247.716;1205.594;1162.929;1117.177;1077.855;1028.829;1013.863;1022.857;1044.991;1057.075;1048.849;1078.741;1049.146;985.258;914.553;851.424;795.682;741.062;691.291;643.218;590.312;551.619;516.717;487.556;460.821;423.423;401.851;387.145;360.119;328.741;295.281;263.075;236.708;211.531;184.309;165.237;146.389;128.754;112.021;100.365;87.606;74.756;61.135;48.24;40.186;34.326;27.956;23.147;19.706;17.44;15.787;13.81;12.239;10.809;9.354;8.054;7.136;6.046;5.231;4.592
GNI, at current prices (UVGN);National currency:;France;Mrd EURO-FRF;;3021.38;2863.378;2716.238;2574.684;2346.345;2489.933;2418.096;2349.163;2281.389;2245.909;2196.359;2164.612;2134.475;2113.091;2041.476;1980.957;2035.781;1979.923;1885.128;1796.143;1727.61;1652.309;1604.367;1565.933;1501.943;1428.941;1369.514;1308.498;1262.933;1222.352;1183.704;1147.63;1135.394;1094.565;1057.214;1000.933;931.324;862.78;818.091;756.689;702.526;647.823;587.414;513.223;455.102;399.96;349.725;307.504;273.394;236.482;209.773;180.042;157.11;140.88;126.204;112.745;98.164;90.114;83.347;76.961;71.278;64.291;57.316;51.047;47.107
