Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;153.2741;149.7589;142.0193;118.5086;124.9906;118.3347;114.0804;110.5096;104.6673;95.7653;90.7386;89.5183;90.3172;89.0596;79.2703;82.8254;85.4119;78.9609;75.0484;70.1167;61.7683;57.9979;55.6239;55.8889;50.7598;49.842;47.5341;45.2445;45.3719;41.6387;38.8772;38.9477;37.0888;36.944;35.1908;32.5004;28.2849;26.8013;24.7201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bulgaria;-;-;-;-;-;-;31.64801;28.49167;27.09494;24.69841;23.70784;24.56654;24.4341;21.92538;21.27176;17.92028;17.58124;14.28104;12.55773;11.07346;9.87038;9.57875;7.91639;5.90562;4.52429;7.06888;4.4935;0.77635;0.42044;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Czechia;2148.03;1937.572;1672.363;1542.501;1590.748;1482.608;1475.615;1424.444;1398.481;1284.913;1151.366;1125.974;1132.16;1113.756;1125.308;1185.551;1156.551;1028.428;920.907;842.087;765.727;736.636;740.484;661.182;619.842;608.181;515.546;481.872;426.981;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Denmark;729.9012;694.0153;640.029;579.991;565.656;554.929;545.473;516.084;495.565;477.019;450.072;443.673;420.959;411.523;351.166;401.807;383.139;393.161;362.435;342.356;315.942;310.92;307.113;315.641;265.914;240.784;248.592;230.511;221.794;203.642;174.776;178.331;163.661;151.792;138.746;121.442;115.677;116.689;115.383;106.099;89.907;75.449;60.763;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Germany;979.2456;905.5739;842.034;754.57;796.798;797.701;794.06;760.636;726.417;708.993;670.25;661.336;680.962;652.633;599.122;663.262;687.706;644.84;591.278;574.237;532.528;525.406;510.884;470.014;474.773;469.697;441.103;414.097;402.949;384.885;359.276;356.409;346.241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Estonia;10.92374;10.27935;9.32938;7.5498;8.0579;7.716;7.2172;6.3636;6.1213;6.3607;6.1836;5.9324;5.5245;4.477;3.6214;4.8598;5.2792;4.5087;3.8156;3.1994;2.8313;2.4571;2.1051;1.7707;1.5383;1.3242;1.0501;0.7624;0.5393;0.37143;0.33945;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ireland;306.5114;279.3143;250.634;216.3062;199.0561;178.8844;154.065;138.5303;138.5152;78.8022;69.3975;64.7523;62.0158;58.2336;53.7365;54.846;64.7875;62.5891;58.2159;54.2084;52.1072;49.9012;42.069;36.9464;31.0659;25.8214;20.9055;16.6913;15.5633;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Greece;38.53734;36.45917;32.26475;24.07817;28.46488;29.32765;29.25862;27.15962;29.69247;31.97964;32.08697;31.2163;34.71217;41.03326;44.05919;47.26243;44.62842;40.26322;37.87841;37.63318;32.63407;29.53471;29.53684;27.95626;25.86175;24.95283;22.44902;20.41509;18.31896;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Spain;338.3784;310.224;273.183;247.381;294.236;292.247;284.624;270.266;254.093;242.495;238.934;242.015;244.931;249.024;269.414;265.197;233.809;201.358;185.645;171.699;162.788;152.528;143.779;130.379;120.329;111.9;106.766;106.375;99.403;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
France;515.8594;487.1896;472.5196;389.869;449.336;412.643;398.041;395.685;395.355;367.066;353.751;351.202;357.968;352.231;327.891;361.754;357.63;330.363;313.362;305.169;289.679;283.408;278.836;269.373;247.482;242.877;223.519;212.253;215.047;211.272;208.068;211.179;205.767;201.305;195.172;176.067;152.652;144.546;118.926;106.192;91.549;78.673;69.337;61.315;54.467;48.103;45.381;39.696;34.872;35.065;29.757;24.759;22.725;19.686;17.203;13.768;12.822;11.787;10.847;9.814;8.628;7.845;7.579;7.079
