Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Operating surplus, Gross (UOGD);National currency:;Belgium;Mrd EURO-BEF;;246.3891;236.3178;235.8695;210.8967;190.9095;196.3303;187.22;181.0814;175.2072;168.4508;157.6373;150.6067;147.9074;146.6658;143.1961;131.2896;136.5701;138.0767;129.1996;122.2672;114.2759;105.1584;100.628;99.0644;98.101;91.2301;89.3286;85.7559;82.2418;81.7494;77.6182;72.9484;71.9253;68.8592;67.9376;65.4267;60.2768;54.3201;52.3455;49.4218;45.9749;41.4586;38.239;34.3198;32.7352;31.0284;28.7482;26.804;25.0575;22.6748;21.1388;19.2244;17.1227;15.6343;15.109;13.6285;12.243;11.2293;10.6127;10.2939;9.5373;8.5923;8.191;7.8838;7.4569
Operating surplus, Gross (UOGD);National currency:;Bulgaria;Mrd BGN;;75.24025;72.72754;74.05687;64.99538;53.5154;54.35275;49.66639;46.60363;44.52872;42.19808;39.98999;39.68428;42.38439;42.80478;38.78666;38.28116;37.35271;33.76828;27.66888;24.10781;21.26541;19.13178;18.39821;16.16139;14.59995;12.81636;14.35654;11.43225;1.34782;0.79873;0.44065;0.22987;0.15377;0.13852;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Czechia;Mrd CZK;;3732.703;3592.279;3258.247;2846.149;2635.034;2671.459;2507.362;2432.31;2339.833;2300.347;2162.259;2006.455;1983.737;2015.888;2002.713;2006.238;2034.87;1971.679;1806.064;1663.085;1557.856;1449.773;1384.798;1363.796;1252.41;1185.54;1135.354;992.63;918.693;820.902;688.958;615.377;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Denmark;Mrd DKK;;1013.896;985.555;923.42;896.499;819.628;792.234;779.906;767.552;726.172;700.549;687.129;664.641;653.335;622.462;604.779;537.745;591.038;570.257;577.598;544.128;521.92;488.674;484.117;477.629;476.266;419.969;402.025;411.108;392.951;379.821;365.786;330.605;332.263;310.891;294.729;278.25;251.016;242.048;240.884;234.965;218.612;192.47;173.104;146.114;129.486;122.121;113.434;103.801;95.06;81.325;74.728;68.863;58.169;49.181;45.333;42.306;36.923;33.875;31.612;29.96;28.23;24.541;23.472;21.389;19.375
Operating surplus, Gross (UOGD);National currency:;Germany;Mrd EURO-DEM;;1634.938;1543.458;1431.158;1404.095;1282.192;1276.923;1262.781;1253.086;1202.333;1162.192;1138.425;1088.483;1066.729;1076.445;1023.553;947.755;1046.686;1051.403;996.681;927.67;904.272;856.66;853.485;837.72;796.981;796.544;796.654;771.469;741.824;725.956;696.944;655.521;638.676;609.26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Estonia;Mrd EURO-EEK;;15.68336;14.9735;14.32857;12.51225;10.59888;10.67139;10.15423;9.41429;8.40877;8.16141;8.36453;8.14076;7.7693;7.27976;6.14289;5.25845;6.64954;7.07969;6.02649;5.1278;4.3882;3.90238;3.49021;3.08466;2.68724;2.36653;2.14417;1.83171;1.41722;1.07497;0.76535;0.65164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Operating surplus, Gross (UOGD);National currency:;Ireland;Mrd EURO-IEP;;423.2353;390.1511;355.8907;293.2328;254.1466;232.1892;211.2277;185.5646;167.6781;166.0849;104.7489;93.6775;89.598;86.8572;82.8932;78.2198;85.7628;95.5504;90.2131;84.0428;77.9561;74.3706;70.554;62.357;55.0503;46.0547;39.991;32.873;27.4814;25.3271;21.8391;20.7;18.6543;18.0933;17.803;15.8987;14.2643;12.7548;11.6128;11.1561;9.7838;8.372;7.4954;6.1849;5.1796;5.0974;4.6677;3.7514;2.6212;2.1911;1.6265;1.6409;1.361;1.0594;0.9498;0.8961;0.7926;0.6978;0.6244;0.6352;0.5995;0.5474;0.5176;0.4883;0.4532
Operating surplus, Gross (UOGD);National currency:;Greece;Mrd EURO-GRD;;120.1776;116.8775;109.4964;92.7336;80.4252;88.1634;86.1575;86.4812;85.3387;90.2657;90.9122;96.3891;98.2472;105.1111;118.3911;128.3649;131.8219;128.3128;120.8843;110.449;110.0958;100.7244;91.232;87.9712;81.9142;78.4054;75.2783;69.1558;62.9702;56.9375;51.8226;45.4829;39.6503;34.0721;26.9222;23.1265;19.7878;16.3955;14.7824;12.1125;9.8507;7.8856;6.7357;5.4881;4.5524;3.7001;3.0106;2.4894;2.2142;1.7888;1.5336;1.3451;0.9763;0.8381;0.7503;0.6552;0.5642;0.5322;0.5023;0.4569;0.3946;0.3493;0.3048;0.2974;0.2544
Operating surplus, Gross (UOGD);National currency:;Spain;Mrd EURO-ESP;;602.2806;574.0797;550.2785;496.252;460.376;538.532;531.96;519.049;496.399;473.109;455.829;455.313;458.512;464.303;456.595;470.518;477.69;460.653;424.354;394.06;367.303;345.987;322.043;299.405;270.551;249.358;235.239;222.978;216.949;203.58;184.3802;168.9255;159.3885;152.8089;143.6351;134.0714;121.7361;108.4609;96.8271;83.602;74.305;62.5462;55.4912;47.3904;43.2865;37.0361;31.7592;25.4158;20.0106;16.974;14.9474;12.1002;10.245;9.0679;8.1592;7.5431;6.6523;5.7165;5.1457;4.5836;4.0247;3.6303;3.1673;2.7342;2.3721
Operating surplus, Gross (UOGD);National currency:;France;Mrd EURO-FRF;;1073.689;996.618;922.483;887.897;803.054;858.157;810.23;786.311;775.451;770.856;739.486;721.899;719.879;720.315;705.001;675.933;725.061;705.558;659.209;625.014;607.473;578.734;564.829;552.91;527.762;492.659;480.894;453.724;436.546;430.735;422.086;410.165;411.122;394.826;384.208;368.12;334.346;301.55;285.788;253.519;232.238;209.513;184.82;161.6;144.356;128.122;113.186;101.195;89.272;79.453;76.602;66.26;57.851;52.07;47.199;42.329;36.71;34.172;31.281;28.672;26.358;24.141;22.255;20.065;19.11
