Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Net primary income from the rest of the world (UBRA);National currency:;Belgium;Mrd EURO-BEF;;5.767419;5.444562;4.89214;4.6482;4.6915;4.6304;4.0718;4.0799;4.1253;5.8974;8.4561;9.6786;8.9611;0.6015;5.5737;6.4431;8.5553;4.7798;4.6761;3.8733;4.1215;5.3693;4.7223;4.9446;6.6073;5.6445;5.6496;5.4532;4.9839;4.6222;4.519;2.833;0.972;0.967;0.304;0.099;0.521;0.509;0.095;-0.012;-0.349;-0.549;-0.468;0.005;-0.2107;0.2555;0.7343;0.6089;0.7007;0.5456;0.5192;0.542;0.4749;0.4034;0.429;0.329698;0.307388;0.28012;0.25533;0.23302;0.168568;0.16361;0.176004;0.176004;0.178483
Net primary income from the rest of the world (UBRA);National currency:;Bulgaria;Mrd BGN;;-7.3842;-6.955289;-6.440332;-4.6519;-4.2487;-5.1081;-5.2591;1.3257;-0.24482;-1.77986;-0.72478;-1.80899;-1.09909;-2.53788;-1.55767;-1.36751;-3.10383;-4.20389;-1.31647;-0.04626;0.53766;0.58737;0.78041;0.07293;-0.65434;-0.30574;-0.62472;-0.65576;-0.23605;-0.00777;-0.01081;-0.00532;-0.00329;-0.01378;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Czechia;Mrd CZK;;-306.1318;-325.7224;-299.7516;-273.456;-284.667;-350.035;-297.042;-289.362;-323.611;-317.229;-298.316;-263.147;-262.92;-327.844;-298.922;-272.986;-246.296;-248.552;-219.747;-151.804;-145.848;-94.925;-96.779;-72.635;-46.411;-41.798;-31.807;-29.607;-27.247;-12.445;-4.5;-7.606;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Denmark;Mrd DKK;;83.96;84.21295;84.41563;86.618;75.084;66.967;62.6;48.003;51.812;62.51;72.064;61.101;42.792;38.944;29.621;17.184;20.091;8.73;20.378;12.784;1.851;-12.861;-17.548;-20.229;-30.205;-13.078;-16.87;-20.731;-21.312;-18.701;-22.346;-21.98;-26.347;-27.565;-25.075;-21.959;-17.985;-15.627;-17.322;-17.907;-15.78;-11.463;-11.526;-7.006;-2.778;0.571;3.585;3.029;1.848;1.221;1.008;2.263;0.49;0.266;0.393;0.553;0.421;0.561;0.606;-0.042;-0.024;-0.023;0.017;-0.005;0.058
Net primary income from the rest of the world (UBRA);National currency:;Germany;Mrd EURO-DEM;;146.427;140.6027;134.5379;127.748;100.267;116.887;113.46;77.845;77.764;68.963;58.652;65.099;65.87;68.975;51.44;55.144;24.175;36.295;40.339;18.893;13.667;-22.464;-23.319;-15.26;-11.864;-14.246;-11.525;-3.745;0.276;-2.594;1.137;11.353;15.055;15.592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Estonia;Mrd EURO-EEK;;-0.301623;-0.301617;-0.336226;-0.5455;-0.3074;-0.5223;-0.5493;-0.5862;-0.4838;-0.4534;-0.5706;-0.4582;-0.7435;-0.8518;-0.7926;-0.4307;-0.8688;-1.0621;-0.669;-0.4208;-0.4684;-0.4622;-0.348;-0.316;-0.2266;-0.0982;-0.077;-0.1324;-0.0018;0.0004;-0.024024;-0.011849;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Net primary income from the rest of the world (UBRA);National currency:;Ireland;Mrd EURO-IEP;;-157.518;-137.1068;-119.4977;-103.1126;-89.1321;-79.8198;-73.5208;-61.1798;-50.0882;-60.7995;-30.3637;-28.0824;-33.9549;-32.3293;-27.1926;-27.9033;-25.1665;-26.6935;-22.7552;-22.8136;-21.3824;-20.0723;-21.977;-17.7967;-13.9142;-11.8588;-8.0404;-6.5331;-4.7729;-4.6277;-3.6888;-3.6121;-3.5057;-2.8573;-2.891;-3.9475;-3.2292;-2.6822;-2.5606;-2.4959;-2.0808;-1.5032;-1.1779;-0.6407;-0.4547;-0.3593;-0.2898;-0.1376;-0.0457;0.0055;0.0244;0.0159;0.0376;0.0338;0.0359;0.0359;0.0403;0.0312;0.0295;0.0324;0.0235;0.0226;0.0227;0.0225;0.0201
Net primary income from the rest of the world (UBRA);National currency:;Greece;Mrd EURO-GRD;;-0.105134;0.260221;-0.101123;-0.79372;-0.80557;-1.64892;-1.98071;-0.88655;-0.85061;-0.14361;1.1504;-0.00703;1.57592;-5.6357;-4.95823;-5.27251;-7.20754;-5.99517;-4.04259;-2.44079;-1.07755;-0.62704;1.41137;0.76277;1.45845;1.82113;1.8635;1.92267;1.77224;2.33813;0.62245;0.404402;0.733089;0.576669;0.308437;-0.085987;-0.05077;-0.034145;-0.101236;0.010116;0.084613;0.158116;0.216719;0.215478;0.207011;0.152704;0.116684;0.111322;0.09244;0.067372;0.065056;0.04101;0.031243;0.027507;0.019149;0.017197;0.016405;0.013532;0.012067;0.011712;0.011648;0.009453;0.007891;0.007618;0.006178
Net primary income from the rest of the world (UBRA);National currency:;Spain;Mrd EURO-ESP;;11.25236;11.04811;7.79308;6.333;2.736;2.203;1.735;0.437;2.757;-0.237;-3.779;-6.814;-8.247;-18.772;-15.634;-20.474;-30.8;-26.393;-18.565;-12.804;-8.013;-6.584;-8.49;-9.702;-4.633;-5.411;-4.374;-2.551;-1.647;0.233;-7.10388;-3.16332;-4.25732;-3.32995;-2.71514;-2.30794;-2.46764;-1.83015;-1.78139;-1.98755;-2.38517;-2.15258;-1.7108;-1.43126;-0.78124;-0.4501;-0.50579;-0.36055;-0.23134;-0.10218;0.00219;-0.06474;-0.09203;-0.09279;-0.1011;-0.09472;-0.06255;-0.04932;-0.04334;-0.00389;-0.01203;-0.0012;-0.0012;-0.0018;-0.0024
Net primary income from the rest of the world (UBRA);National currency:;France;Mrd EURO-FRF;;87.82289;82.56342;79.06178;73.812;35.876;52.298;54.79;51.921;47.26;47.477;46.594;47.422;45.671;54.722;46.187;44.535;43.401;38.563;36.977;30.238;23.591;21.643;16.538;27.733;23.358;27.942;17.618;15.721;10.667;4.079;3.837;5.511;4.411;2.86;3.668;3.812;6.109;6.797;3.495;-1;-4.504;-2.689;1.425;3.238;3.332;1.75;1.109;0.6964;0.7816;0.6057;0.4054;0.5464;0.6221;0.6877;0.5052;0.3787;0.4809;0.569;0.521;0.5393;0.5223;0.4978;0.41;0.2727;0.273
