year,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Albania,Montenegro,North Macedonia,Serbia,Turkey,Iceland,Norway,Switzerland,Australia,Canada,Japan,Korea,Mexico,New Zealand,United States
1995,210.4891,1.2757,1596.306,1036.483,1894.61,2.86164,54.7587,93.0636,460.588,1218.273,118.8275,988.243,7.67831,4.05934,7.76093,15.23944,5836.48,3.05966,329.547,176.6088,345.06,89.0286,7.611,10.56081,19.7677,98.549,1906.773,850.927,NA,NA,178.3112,59.587,10.69,462.985,963.138,417.5792,528.636,831.621,521613.5,436988.8,2311.46,96.236,7639.75
1996,214.2871,2.1871,1829.255,1088.024,1921.38,3.67997,60.1476,103.0366,489.203,1252.266,130.8283,1045.873,7.9795,4.68221,9.71115,16.03715,7122.31,3.20969,344.625,182.5409,431.897,94.3516,11.388,12.14729,22.0329,102.083,1956.434,908.061,334.359,NA,185.5921,117.163,20.35,497.142,1054.672,420.8225,556.257,859.834,535562.1,490850.9,3123.17,101.101,8073.12
1997,224.1015,19.0324,1971.024,1146.129,1961.15,4.573,69.4007,114.7122,519.268,1292.777,148.4157,1092.357,8.37344,5.39598,11.72243,17.34921,8834.56,3.41066,369.046,188.7238,522.582,102.331,25.5,13.83653,24.4561,110.807,2047.269,952.585,331.324,NA,195.6636,151.807,39.72,536.722,1141.34,428.3096,588.842,906.926,543545.4,542001.8,3962.52,104.815,8577.55
1998,232.6238,26.46,2156.624,1185.988,2014.42,5.10043,80.4308,125.2626,555.993,1351.896,164.1274,1138.856,9.05978,6.01466,13.02102,18.13102,10442.82,3.62917,394.295,196.3466,607.103,111.3534,37.008,15.35177,26.6883,120.474,2152.905,998.318,384.848,NA,205.0892,195.179,71.94,603.408,1163.178,440.5686,620.924,940.548,536497.4,537215.3,4810.12,106.826,9062.82
1999,242.3076,25.0429,2252.983,1241.521,2059.48,5.40689,92.7905,133.7887,595.723,1400.999,168.3869,1175.15,9.73156,6.27263,12.71058,20.54776,11637.55,3.82956,419.459,203.8506,674.53,119.6033,55.126,17.22658,28.5836,126.916,2264.494,1041.97,443.594,NA,219.8478,226.101,107.37,649.719,1265.689,448.4375,661.722,1007.927,528069.9,591453,5738.47,113.229,9631.17
2000,256.3764,28.1249,2386.289,1326.912,2109.09,6.17164,108.4953,141.2473,647.851,1478.585,180.7824,1241.513,10.59498,6.86849,13.35145,22.98603,13324.05,4.15335,452.007,213.6065,748.483,128.4145,80.873,18.85312,31.6611,136.442,2408.151,1098.5,501.199,1.075931,248.6465,434.319,171.49,709.561,1507.283,472.5957,706.385,1106.071,535417.7,651634.4,6693.68,119.839,10250.95
2001,264.3349,30.9867,2579.126,1371.526,2172.54,6.98707,122.0892,152.1938,700.993,1538.2,194.138,1304.137,11.41689,7.47097,14.17701,23.87989,15398.7,4.28584,481.881,220.5251,781.548,135.775,117.391,21.1477,34.3655,144.628,2503.731,1142.023,563.449,1.307543,252.3935,867.238,247.27,802.277,1564.306,484.7235,755.579,1144.543,531653.9,707021.3,7069.38,128.712,10581.93
2002,273.2559,34.0687,2690.982,1410.271,2198.12,7.82258,135.9976,163.4608,749.552,1587.829,213.1223,1350.259,11.87704,8.40637,15.18239,25.01109,17433.86,4.5156,501.137,226.7352,812.214,142.5543,152.272,23.54861,37.3295,148.486,2598.336,1190.336,610.494,1.373409,258.5807,1102.557,362.11,854.14,1561.026,483.44,802.51,1193.694,524478.7,784741.3,7455.46,135.181,10929.11
2003,281.2002,36.6379,2823.452,1436.751,2211.57,8.74443,145.5764,178.9049,802.266,1630.666,234.5784,1394.693,12.84529,9.57179,16.65,26.22729,19133.81,4.78752,512.81,231.8625,847.152,146.0679,191.918,25.61328,41.4795,151.749,2703.551,1259.97,677.738,1.524627,268.6936,1294.656,472.17,876.733,1620.364,488.9373,863.395,1254.747,523968.6,837365,7868.81,144.502,11456.45
2004,296.8197,41.2013,3079.207,1506.001,2262.52,9.77746,156.2603,193.7158,859.437,1704.019,253.1939,1452.319,13.85644,11.09672,18.21967,28.18939,21114.16,4.89555,529.286,242.3483,933.091,152.2484,244.688,27.62819,46.1752,158.758,2830.194,1322.795,737.656,1.68581,280.786,1526.205,582.85,970.421,1783.02,504.2782,924.589,1335.731,529400.9,908439.2,8828.37,154.559,12217.2
2005,310.0376,47.0172,3285.601,1585.984,2288.31,11.34327,170.3068,199.2423,927.357,1765.905,272.3575,1493.635,14.82231,13.66228,20.97992,30.28099,22600.07,5.15925,550.883,254.075,990.53,158.5527,286.862,29.11356,50.4857,164.687,2931.085,1399.656,804.163,1.832414,308.4472,1846.853,680.28,1061.428,1989.987,523.6626,998.436,1421.59,532515.6,957447.8,9562.65,162.937,13039.2
2006,325.1515,53.6084,3530.881,1682.26,2385.08,13.56893,184.9162,217.8616,1003.823,1848.151,296.9148,1552.687,16.00002,17.19998,24.05329,34.17505,24352.91,5.403,584.546,267.8245,1069.431,166.2605,342.763,31.47034,56.3614,172.897,3121.668,1476.722,872.735,2.16963,334.8402,2181.035,795.76,1225.716,2216.317,556.4388,1087.683,1496.604,535170.2,1005601.5,10630.94,172.004,13815.58
2007,343.6189,63.4549,3859.533,1738.845,2499.55,16.40133,197.0694,232.6946,1075.539,1941.36,324.7833,1614.84,17.51158,22.70384,29.01122,37.6419,25749.4,5.79028,619.17,283.978,1187.508,175.4834,425.691,35.07346,63.1634,187.072,3320.278,1552.47,965.528,2.68913,372.8892,2523.496,887.71,1386.951,2350.173,592.4423,1178.577,1577.661,539281.7,1089660.2,11504.08,186.673,14474.23
2008,351.7431,72.7904,4042.86,1801.47,2546.49,16.61806,187.283,241.9904,1109.541,1992.38,349.1573,1637.699,19.00958,24.52791,32.66007,40.00956,27258.34,6.20602,647.198,293.7619,1285.571,179.1028,539.835,37.9257,68.5905,194.265,3412.253,1598.752,1080.676,3.10333,414.8901,2908.445,1002.76,1589.625,2607.09,617.6965,1260.468,1657.041,527823.8,1154216.5,12353.85,189.406,14769.86
2009,346.4728,73.1815,3954.32,1722.143,2445.73,14.13186,169.5197,237.5342,1069.323,1936.422,333.3325,1577.256,18.67549,19.00001,26.89701,39.05074,26529.88,6.25964,624.842,288.044,1372.025,175.4164,530.894,36.25493,64.0955,181.747,3341.167,1557.12,1143.936,2.99388,414.6219,3052.135,1006.37,1626.391,2428.481,607.3773,1302.858,1571.334,494938.4,1205347.7,12162.76,194.306,14478.07
