year;OGUSA
1985;1.12423579033516
1986;1.37694777866471
1987;1.69590155024471
1988;2.74300235302663
1989;3.28945657931188
1990;2.05365763417096
1991;-1.01539869688038
1992;-0.431391605321718
1993;-0.69544120320526
1994;0.119768572961809
1995;-0.584525588278595
1996;-0.472118598873739
1997;0.0628398532555696
1998;0.49054462092597
1999;1.20159032278442
2000;1.33452884284664
2001;-1.18626765120209
2002;-2.35431207883317
2003;-2.07084900677511
2004;-0.595186534556813
2005;0.63361395756858
2006;1.22993510660114
2007;1.12964543023615
2008;-0.73711605237079
2009;-4.88412437161886
2010;-3.72845757279723
2011;-3.68457366899619
2012;-3.0412754908447
2013;-2.87110683739463
2014;-2.3771116001818
2015;-1.57229663922091
2016;-1.77499425959963
2017;-1.41939807458544
2018;-0.375936518848952
2019;0.11676725438976
2020;-4.16226948405317
2021;0.045047910191176
2022;0.306405873134863
2023;-0.802207086629114
2024;-1.50975035082033
