year,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,United States
1995,288.1084,55.5427,NA,1520.832,2337.793,9.48325,90.2017,150.5536,741.441,1627.625,NA,1512.674,NA,11.51789,16.40381,27.92704,22027.27,4.95138,475.9088,243.6674,830.675,144.1694,409.4246,NA,NA,141.042,2641.635,1281.348,11242.55
1996,293.8024,55.1679,NA,1555.183,2372.132,9.8998,97.4,154.9162,757.921,1659.828,NA,1534.487,NA,11.87441,17.16254,28.90298,22554.22,5.11997,492.2264,249.3112,863.807,148.0853,411.5614,NA,37.95278,145.2657,2701.718,1315.986,11643.48
1997,300.484,54.9091,2991.093,1592.463,2404.457,10.48598,106.0713,160.0222,775.762,1693.523,NA,1560.433,12.30493,12.33395,18.09126,30.07173,23153.08,5.28512,509.6164,255.391,904.864,152.874,411.4073,26.03739,39.62373,150.5717,2769.758,1353.428,12081.25
1998,307.3682,54.9903,3024.654,1631.406,2438.406,11.13953,115.5137,165.6557,795.943,1729.19,NA,1585.686,12.7618,12.97203,19.12653,31.41508,23855.81,5.47112,528.1382,262.0063,953.975,158.5453,412.2941,26.85563,41.53651,157.1793,2848.082,1393.974,12545.15
1999,314.7858,55.4583,3053.844,1669.12,2475.958,11.82162,125.7866,172.0335,819.748,1766.489,NA,1609.868,13.28464,13.70476,20.19699,33.09816,24602.31,5.63624,547.3064,268.8078,996.688,163.9983,415.6296,27.90396,43.01779,164.2999,2930.5,1436.239,13014.26
2000,322.8035,56.6782,3115.478,1708.616,2515.242,12.58936,136.2882,179.3143,843.652,1804.946,NA,1633.859,13.80104,14.5648,21.25021,34.81098,25435.42,5.85302,565.7456,275.8415,1042.995,169.4295,424.4547,28.91113,44.30344,171.672,3019.612,1480.29,13477.6
2001,330.8353,58.0951,3178.864,1741.778,2552.499,13.32409,146.7293,187.0395,871.892,1840.838,285.863,1655.446,14.31233,15.52421,22.4299,36.51674,26379.86,6.04464,583.3543,282.6052,1087.549,174.2356,434.9066,29.88361,46.09117,178.8567,3113.198,1522.73,13892.99
2002,338.4392,59.7812,3260.962,1769.253,2585.654,14.15853,156.8152,194.9744,898.793,1874.145,295.6836,1672.497,14.87181,16.54946,23.82158,38.0994,27445.75,6.15922,597.7826,289.0832,1129.339,177.8204,446.8331,30.80838,48.08045,185.1129,3206.059,1564.107,14265.73
2003,345.6472,62.2455,3365.543,1792.197,2616.084,15.096,165.8975,204.4763,930.695,1907.829,307.8985,1687.098,15.40191,17.70207,25.25781,39.71644,28538.84,6.31792,610.2751,295.6196,1173.27,180.2041,464.5436,31.78367,50.19823,190.967,3299.595,1604.331,14631.1
2004,353.1868,65.9838,3503.135,1814.918,2646.37,16.05237,174.6992,212.8883,962.18,1943.733,319.0864,1705.435,15.95476,19.02487,26.73795,41.43494,29728.14,6.47074,621.5174,302.5166,1216.406,182.5102,490.0683,32.8218,52.34416,196.5235,3393.868,1643.581,15019.34
2005,360.6706,70.1233,3667.932,1840.141,2677.909,17.07458,183.2983,218.4834,996.881,1980.001,330.6176,1715.089,16.50233,20.5068,28.27429,43.05341,30813.51,6.65086,631.3109,309.4823,1255.6,184.0878,517.5095,33.84995,55.47967,201.6719,3485.368,1684.382,15416.62
2006,367.8196,74.1551,3825.862,1873.002,2714.754,18.0989,191.1347,224.4291,1032.337,2015.388,341.0721,1725.748,17.13794,22.04592,30.02003,44.66685,31739.73,6.82859,642.778,315.9699,1305.841,185.6922,550.3748,35.03381,59.03059,206.4281,3581.85,1720.905,15794.98
2007,375.2652,78.2214,4007.249,1905.416,2752.023,18.99164,197.1534,229.4626,1071.796,2050.614,349.3704,1738.839,17.79413,23.48898,32.13428,46.24162,32470.58,7.04117,655.3792,321.9032,1364.199,187.006,590.4634,36.32355,62.84192,211.0491,3675.956,1755.466,16122.96
2008,382.0893,82.2131,4169.613,1935.896,2786.77,19.43337,198.6679,232.2196,1103.671,2082.801,355.8796,1743.42,18.47221,24.35162,33.8737,47.68231,32979.68,7.25677,666.6838,326.8677,1426.801,188.0813,630.0691,37.72154,66.57965,214.3234,3756.314,1782.904,16388.83
2009,387.0153,84.0107,4230.532,1955.142,2808.783,19.24486,197.038,232.4587,1117.05,2105.615,355.7796,1738.572,18.94105,23.87087,34.17035,48.59593,33110.83,7.45953,673.6715,329.9646,1481.074,187.571,644.1601,38.59933,68.40922,214.8011,3813.36,1798.402,16569.57
2010,392.4812,84.3537,4294.134,1972.302,2841.034,19.12525,194.8143,229.9457,1131.383,2129.372,352.7751,1736.396,19.35428,23.27905,34.20163,49.2966,33141.22,7.7116,678.1221,332.528,1537.009,187.3223,649.3484,39.08979,70.59088,215.4525,3879.966,1816.622,16759.77
2011,398.4977,84.8142,4345.886,1989.116,2865.543,19.27956,193.5492,224.1541,1139.237,2153.236,350.8744,1739.413,19.64316,23.03346,34.5543,50.29477,33203.61,7.92972,683.1858,335.5535,1604.224,186.2106,655.4748,39.41413,73.42533,216.1082,3944.687,1836.551,16972.27
2012,402.9892,85.3438,4366.918,2006.833,2891.788,19.52846,194.7966,217.5548,1136.646,2175.067,349.2482,1723.39,19.64702,23.06296,35.02183,51.43757,33240.72,8.21086,686.2905,338.6999,1659.249,183.6854,666.4795,39.64685,75.11161,216.4434,4003.655,1855.116,17223.85
2013,406.6384,86.2447,4408.307,2027.023,2936.497,19.84478,198.1009,211.5442,1131.854,2197.114,349.5593,1721.52,19.36685,23.33142,35.69699,52.56591,33519.25,8.55492,688.9499,342.018,1705.988,182.0993,681.4283,39.92886,76.51565,216.6335,4068.983,1876.669,17500.08
2014,410.845,88.0731,4498.287,2051.999,2982.802,20.28374,204.9555,206.7517,1131.937,2217.456,350.633,1721.387,19.06343,23.70877,36.43708,53.85551,34073.89,8.98748,692.7065,345.2263,1760.083,182.079,700.4371,40.32163,77.97911,217.0543,4145.88,1904.249,17816.65
2015,415.9082,90.5228,4627.305,2086.321,3034.527,20.7823,249.7993,203.2683,1135.382,2234.949,353.3937,1719.042,18.97443,24.29845,37.19574,55.06462,34765.95,9.64332,702.1299,349.1316,1816.665,183.0063,725.9177,40.72738,80.14478,217.9495,4235.613,1936.585,18164.97
2016,421.5819,92.6364,4751.817,2128.806,3084.298,21.3557,263.1615,199.495,1140.481,2252.862,358.511,1716.081,19.32075,24.80294,37.91274,56.43947,35444.04,10.27648,711.2861,353.4531,1868.946,184.7559,755.0834,41.15792,81.66136,220.1319,4329.822,1970.896,18521.23
2017,427.0039,94.7006,4893.044,2172.494,3125.077,22.13654,286.7114,196.9194,1148.463,2273.237,362.9653,1718.14,19.90152,25.44271,38.85192,57.82412,36463.34,10.92758,722.139,357.6323,1930.127,187.5531,789.2705,41.76167,83.17268,222.758,4430.462,2001.021,18884.24
2018,432.9839,96.7947,5027.325,2217.193,3164.045,22.9975,317.5035,194.3665,1157.644,2294.013,369.6474,1717.461,20.5465,26.16571,40.14579,59.06032,37828.96,11.61574,733.8431,361.8322,2002.176,190.5943,820.0204,42.6463,84.93722,225.906,4526.754,2027.66,19260.91
