Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Belgium;Mrd EURO-BEF;;57.76111;54.59887;51.41008;47.747;38.6808;47.7015;46.344;44.7482;43.0651;40.1226;39.1648;38.6676;38.4612;36.1312;35.2329;34.2775;35.5449;35.4366;34.5587;33.7851;33.6931;31.3732;30.6431;29.5611;29.7118;28.1133;26.4189;25.482;23.4059;22.2349;21.89353;20.01744;18.89412;17.67841;17.1503;16.22733;14.25399;13.32907;11.79339;11.48994;10.61171;10.30633;9.70139;8.57418;8.05181;7.70655;7.12009;6.82929;6.18681;5.31578;5.049;4.19693;3.84029;3.87987;3.60532;3.35496;3.0598;2.97959;2.64657;2.32645;2.20522;1.97177;1.83285;1.71784;1.50399
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Bulgaria;Mrd BGN;;20.60972;18.45044;15.57051;12.68924;12.46274;13.67213;12.05994;12.51695;11.51405;10.86365;9.91009;10.05815;10.04766;9.75735;8.92024;9.04963;11.06308;9.30113;8.53226;7.20604;6.08932;4.82127;3.92451;3.78053;3.55692;2.87741;2.87006;1.6309;0.18134;0.09705;0.06552;0.02763;0.01728;0.01013;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Czechia;Mrd CZK;;689.8095;559.4803;561.4303;476.587;448.802;534.426;504.235;493.349;454.451;433.696;383.789;401.006;385.387;369.082;350.477;337.972;346.778;337.627;296.779;291.667;279.247;228.219;220.448;203.108;197.511;188.443;168.243;167.21;169.678;145.324;132.565;126.189;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Denmark;Mrd DKK;;387.2203;371.3648;360.8052;327.5423;291.6915;323.8848;319.0963;306.9297;298.4245;286.7454;276.2931;271.2323;264.1516;257.9181;252.4785;238.7199;260.613;265.949;255.6954;240.9243;221.0898;206.9647;204.0021;196.992;188.3687;185.7253;178.3386;162.2767;148.9527;137.9621;131.0683;117.0429;112.6347;114.7575;110.558;111.3556;112.337;113.0577;108.9205;92.3636;82.1505;73.6227;66.351;61.9859;57.2488;53.6745;45.4759;38.1416;32.5953;27.325;23.2162;23.1983;21.4532;18.8262;17.5184;15.7261;13.8755;11.586;10.0247;8.7019;7.4148;6.4133;5.539;4.5985;4.8385
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Germany;Mrd EURO-DEM;;423.4358;407.4202;393.8544;283.946;274.448;343.063;331.407;320.978;309.679;302.012;287.236;278.696;275.068;267.273;247.241;241.061;249.096;243.868;217.671;209.879;205.952;206.195;199.565;196.45;191.762;185.853;170.879;164.942;158.895;157.269;157.943;146.514;136.957;123.081;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Estonia;Mrd EURO-EEK;;4.926328;4.649985;4.197912;3.63201;2.89982;3.58227;3.31346;3.10167;2.95947;2.70888;2.51479;2.23922;2.15038;1.94589;1.73459;1.82647;1.77334;1.98177;1.64204;1.2939;1.12209;0.99254;0.90752;0.80053;0.70053;0.57076;0.5612;0.57771;0.45505;0.33826;0.256922;0.173576;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Ireland;Mrd EURO-IEP;;33.44578;31.92987;30.17649;21.89656;16.20197;24.47038;22.63653;21.76324;20.70938;19.45445;18.36345;16.18342;15.05281;14.61092;14.98376;14.96929;19.08486;22.60069;21.88225;18.60314;16.54618;14.47465;13.02346;11.81561;11.51988;9.71905;8.42646;7.08559;6.09231;5.7746;5.10031;4.15159;4.25951;3.70652;3.65307;4.11817;3.03096;2.95947;2.79783;2.57075;2.58917;2.42172;2.1336;1.6703;1.1453;0.73288;0.66165;0.72142;0.79509;0.52448;0.50723;0.50588;0.43093;0.3665;0.31757;0.27619;0.22753;0.20071;0.18979;0.1666;0.15461;0.13008;0.11498;0.10864;0.1077
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Greece;Mrd EURO-GRD;;32.69394;28.96444;25.6745;19.51969;19.0602;27.4872;27.5001;26.56877;26.16356;24.33289;23.78294;21.23222;22.28022;23.86619;25.25899;24.29474;27.2211;25.94094;23.91119;20.5226;19.4821;18.71904;18.18068;17.31644;15.85148;14.64172;12.52549;11.79471;10.43236;8.92211;7.80053;6.94064;6.69974;5.46301;3.93385;2.69257;2.55613;2.0996;1.66975;1.2533;1.19224;0.92315;0.69911;0.50388;0.51714;0.51071;0.39896;0.32799;0.2649;0.21841;0.15612;0.15619;0.13468;0.1211;0.11618;0.10631;0.08983;0.07752;0.07065;0.0616;0.05478;0.04913;0.04311;0.03915;0.03419
Taxes linked to imports and production minus subsidies (UTVN);National currency:;Spain;Mrd EURO-ESP;;148.6352;143.9094;135.2079;125.624;101.938;127.579;126.181;119.778;114.297;112.091;103.248;97.843;91.192;86.132;89.301;68.76;87.725;106.462;108.018;98.264;86.771;76.443;68.858;64.694;61.076;55.975;50.552;44.574;40.178;37.19;35.1815;31.4088;35.5063;30.6387;28.1289;25.6278;22.4456;21.6511;20.0262;17.4685;14.8354;12.3428;9.9338;8.5282;6.6855;5.8497;4.6656;4.6973;3.7507;3.2605;2.9703;2.8442;2.2318;1.8591;1.7661;1.611;1.3036;1.2438;1.118;0.918;0.7652;0.6598;0.5597;0.5049;0.4564
Taxes linked to imports and production minus subsidies (UTVN);National currency:;France;Mrd EURO-FRF;;397.9381;366.2243;356.4809;329.221;310.82;336.607;321.543;311.09;295.391;286.155;283.578;285.823;276.569;269.125;250.076;247.476;257.127;255.872;246.93;237.729;225.383;210.212;205.226;199.859;199.317;195.885;189.942;182.876;176.151;165.303;156.953;143.191;140.536;139.026;135.019;128.513;120.721;109.255;102.159;97.589;90.655;83.302;75.592;64.59;57.476;52.69;44.016;36.618;34.748;28.662;24.483;22.652;19.908;17.692;16.065;15.052;12.948;12.703;12.087;11.16;10.518;9.257;8.098;7.223;6.72
