year,ccode,familychildren,health,housing,oldage,sicknessdisability,social,survivors,unemployment,nominalGDP,potentialoutput
1995,AUT,5673.4,11778.9,124.9,21248.8,4023,38614.5,3382.2,2417.1,176.6088,243.6674
1996,AUT,5568.6,12291.6,144.1,22202.9,3959.7,39855,3485.3,2574.7,182.5409,249.3112
1997,AUT,5333.7,13193.7,171,22846,3821.7,40060.7,3531.3,2371.5,188.7238,255.391
1998,AUT,5151,14015.7,211.9,23803.1,4042.9,41116,3600.2,2559.9,196.3466,262.0063
1999,AUT,5740.7,14809,233.6,24865.5,4088.8,42962.4,3671.5,2545.7,203.8506,268.8078
2000,AUT,6171.8,15216,254.7,25951.7,3962.8,44386.9,3729.7,2407.7,213.6065,275.8415
2001,AUT,6197.1,15542.5,267.8,26926,3664.7,45466.1,3804,2431.7,220.5251,282.6052
2002,AUT,6406.7,16561.7,310.8,27508.2,3882.9,47324.9,3871.7,2874.6,226.7352,289.0832
2003,AUT,6656.2,17177,311.2,28401.6,4079.3,48626.6,3931.3,3127.5,231.8625,295.6196
2004,AUT,6811.6,18207.1,307.7,29095.2,4437.2,49830.1,3981.1,3106.3,242.3483,302.5166
2005,AUT,6976,18888.8,320,29803.5,4673.1,51404.9,4025.6,3178.3,254.075,309.4823
2006,AUT,7005.9,19627.2,394.3,30998.5,4850.6,53184.5,4144.2,3291.4,267.8245,315.9699
2007,AUT,7049,20902.8,337.8,32337.3,5142,55107.3,4265.8,3393.9,283.978,321.9032
2008,AUT,7512,22069.3,414.9,33950.1,5386.2,57524.9,4401,3103.3,293.7619,326.8677
2009,AUT,7809.2,22584.3,461.1,35871.9,5706,61168,4498.1,3904.5,288.044,329.9646
2010,AUT,7904.4,23275.2,499.8,37341.1,5898.5,63323.2,4565.5,4138,295.8966,332.528
2011,AUT,7509.2,23729.5,424.2,38388.9,6129.8,64179,4622.3,3969.6,310.1287,335.5535
2012,AUT,7554.5,24488.2,391.7,40163.2,6280.7,66633.6,4750.7,4158.9,318.653,338.6999
2013,AUT,7544.6,25194.8,377.1,41715,6431.9,69001.6,4851.8,4513.1,323.9102,342.018
2014,AUT,7550.9,26381.2,373.7,43403.4,6560.8,71461,4949.8,4789.4,333.1461,345.2263
2015,AUT,7940.3,28235,382.8,44081.1,6626.2,72937,5011.1,4812.8,344.2692,349.1316
2016,AUT,8109.6,29223.8,397.8,45285.7,6701.7,75072,5074.4,4941.4,357.608,353.4531
2017,AUT,7993.9,30239.1,391.2,46483.4,6715.3,76076.2,5105.4,4812.2,369.3619,357.6323
2018,AUT,8137.1,31770.2,392.9,47789.6,6833.9,77713.3,5204.7,4693.4,385.424,361.8322
