Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Belgium;(National currency: 2015 = 100);;129.4929668;125.5449523;119.5995165;112.0571913;108.8715276;107.2512603;105.3947928;103.7862803;101.9208507;100;98.6870808;97.726773;96.5000087;94.6439284;92.9637942;91.2375095;90.7536298;89.0537317;87.3660631;85.4312944;83.6880111;82.1155065;80.623893;79.3229898;77.780751;76.2447117;75.7908023;74.4465628;73.8867785;73.53629;72.6494083;71.1591192;68.4266831;66.160984;64.310998;62.5517895;59.6882699;58.4211215;57.4535403;55.8904083;53.4183446;50.6624535;47.9704233;44.5939567;42.4144731;40.9593818;39.0096713;37.4878833;34.8728482;32.4163209;28.7973042;25.740951;24.0414381;22.7975608;21.7377863;20.761178;19.956864;19.4431608;18.841592;18.0933451;17.1967695;16.4320324;15.9480982;15.6911836;15.5106275
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Bulgaria;(National currency: 2015 = 100);;161.0653349;155.3120653;149.0013469;132.6780713;123.8446239;118.7868506;112.8757963;108.2921704;103.3220819;100;97.1375593;95.8524276;95.7835002;94.7299687;89.2727382;88.5956607;85.2389357;78.8494073;71.002602;66.5089376;62.3944775;59.0960036;57.8298673;55.6868391;52.4764617;48.8694802;47.2995373;35.3110712;3.4850656;2.1385173;1.3168901;0.7626563;0.5047902;0.3163729;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Czechia;(National currency: 2015 = 100);;145.5676665;138.9015342;128.4845377;117.6907563;113.8960802;109.1811964;105.0941344;102.463313;101.1414506;100;99.0174732;96.528452;95.2288593;93.8669243;93.8862385;95.2437612;92.8411975;91.0122327;87.900229;87.3290053;87.2461701;83.8510049;82.7808778;80.5854486;76.8290571;75.4393631;73.2123913;66.6731163;61.556817;56.0090664;51.3319473;46.0382968;37.9213269;33.0181356;23.1152181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Denmark;(National currency: 2015 = 100);;120.6482801;117.4207408;112.5011282;108.8974136;105.9657563;103.2727935;102.200916;101.4422727;100.2545952;100;99.5688065;98.5516464;97.684045;95.4176995;94.812188;91.8508498;91.367495;87.739727;85.656325;83.914117;81.5440996;79.8702327;78.7039738;76.8986643;75.0096111;72.8121595;71.6057784;70.7342316;69.3378237;67.9688068;67.1082177;66.0738301;65.6928652;64.6227698;62.9486794;61.3520255;58.4498252;56.2317199;53.6794307;52.4645679;50.3059629;47.4766434;44.2112701;40.1393221;36.2615295;33.3253803;31.1252758;28.5671622;26.2382852;23.9881729;21.1618391;18.6832381;16.88952;15.4099845;14.3421016;13.1541092;12.2749859;11.6204537;11.1249256;10.4135375;9.6927391;9.265504;8.7597602;8.2146444;7.8754771
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Germany;(National currency: 2015 = 100);;131.0426943;126.4605708;118.4340499;112.4205989;109.0852088;107.1450159;104.9161924;102.8514571;101.3277522;100;98.1800571;96.3702812;94.5182975;93.1246968;92.1392822;91.5485416;89.8928134;89.0827568;87.5331803;87.1868036;86.834942;85.8769029;84.7570474;83.6048671;82.5278825;82.9337511;82.6501494;82.0850224;81.8616904;81.3716059;79.7906932;78.1866104;75.2636242;71.4712207;69.5340203;67.3739884;65.7119633;64.4875535;63.770024;61.7464865;60.2827422;59.0854456;57.5266845;54.9358474;52.7266372;50.0005928;48.0615312;46.5680565;45.1072217;43.6630774;41.3743681;38.3583995;35.9218424;34.2840614;31.9082945;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Estonia;(National currency: 2015 = 100);;151.9476226;147.5815231;138.0280214;120.7597536;113.927638;114.536388;110.9773143;105.8562084;102.1873003;100;98.9742304;96.1702331;92.4436051;88.8264776;84.2166182;82.7093975;83.0320945;77.7435807;69.1925203;63.4918511;59.9410978;57.2555611;55.1124219;52.5592574;49.2125297;47.4636663;44.5831651;41.7075945;37.9427637;30.9637294;23.5629487;16.8705677;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Ireland;(National currency: 2015 = 100);;127.6517758;122.2383465;115.9578321;105.6239283;104.9338378;106.6024625;102.9261082;101.8307135;100.7278243;100;92.2625936;92.2125824;91.2541274;89.2162835;87.7011336;90.3109676;94.6899971;95.1701589;94.0430606;90.9332429;88.2219909;87.769488;84.4656761;80.3007593;75.1459835;70.3120651;67.3640784;63.2213259;60.8311171;59.4679537;57.8071035;56.8438671;54.0465572;52.5682132;51.6380123;51.8189576;49.2958916;47.6814792;46.6557913;44.1175707;41.9078637;39.3950281;35.5422199;30.8460844;26.2565659;22.879406;20.1048685;18.162629;16.0273172;13.2436191;11.0240985;10.3915045;9.0147243;7.9505341;7.1925031;6.5548376;6.0075861;5.763353;5.5819425;5.3447756;5.1168749;4.6660863;4.5446799;4.3332066;4.226532
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Greece;(National currency: 2015 = 100);;118.0191413;115.3126802;109.2032922;100.1827584;98.9047143;99.7635399;99.5404207;99.7051736;99.4214221;100;100.294598;102.2775068;104.4134168;104.7014887;103.7069237;103.8908592;101.2879907;97.0706711;93.8582201;90.6886124;88.7014157;86.0655221;83.1924075;80.4967602;77.7936256;76.5740527;73.8969587;70.308704;65.9844888;61.3035371;55.8362024;50.2205139;43.8884126;38.2296389;31.9150094;26.443075;23.0948435;19.7935151;17.1743186;14.4461319;12.1374773;9.9550611;8.2535469;6.4879923;5.3354394;4.473976;3.7236293;3.2727844;2.8766144;2.4710235;2.1844202;1.7789403;1.4718581;1.4007237;1.3606526;1.3108473;1.2704323;1.2519374;1.2253519;1.169041;1.1232332;1.0862426;1.0743064;1.0266935;1.0158643
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;Spain;(National currency: 2015 = 100);;119.3564381;116.6025475;111.8454452;108.0909552;105.6597515;104.3804992;102.8912934;101.6254946;100.322098;100;99.4576393;99.6806475;99.2858113;99.3997311;99.4193558;99.2670014;99.1244849;96.939159;93.7367401;90.1491409;86.597773;83.3614923;80.2065644;77.0589567;74.0181203;71.6329198;69.8577573;68.1096537;66.5419353;64.3165249;61.2929077;59.0032195;56.4428361;52.8937493;49.4617427;46.0865693;43.1131505;40.6975167;38.4141196;34.645628;31.9032661;28.7764023;25.7200241;22.6441417;20.1550149;17.7696219;15.1967717;12.5974436;10.2101495;8.7647053;7.5055252;6.4730183;5.7875802;5.3330684;4.945184;4.6676791;4.4396834;4.1919138;3.8624805;3.5707511;3.2707564;3.0762385;2.8349047;2.6814735;2.6328368
GDP, price deflator (PVGD);National currency. Aggregates: average of national growth rates weighted with current values in ECU/EUR:;France;(National currency: 2015 = 100);;120.6694241;116.12152;110.6073899;107.6486634;106.2322495;103.3542707;102.0494741;101.0468623;100.5225593;100;98.8745617;98.3073825;97.5483583;96.4280334;95.522518;94.5115307;94.4486016;92.26463;89.9645623;88.0664424;86.3935678;85.0140657;83.4621959;81.7716283;80.1617134;78.9356141;78.7750617;78.0335382;77.3542122;76.3177574;75.4689409;74.7773037;73.5826865;72.1631961;70.3707923;68.5493252;66.3689414;64.3151021;62.7734726;59.7528628;56.6626203;52.9223198;48.264618;43.0569776;38.5497515;34.5158997;31.2898272;28.6329496;26.3230596;23.7681696;20.8944696;18.6837312;17.3222732;16.2186017;15.3149595;14.5269124;13.526495;12.9565029;12.574079;12.2111785;11.8552963;11.3999913;10.8030149;10.2987575;9.9724802
