Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;5155.335;5115.438;5063.4;4977.3;4978.8;4900.9;4830.2;4756.2;4698;4657.6;4638.9;4653;4633.6;4573.1;4542.5;4549.1;4470.2;4396.4;4345.9;4284;4240.3;4242.6;4231.3;4173.1;4091.4;4036.3;3966.4;3938.5;3927.4;3848.573;3863.54;3888.485;3894.472;3882.498;3839.592;3782.717;3710.874;3682.935;3658.988;3641.027;3644.021;3690.918;3739.811;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bulgaria;3479.234;3466.204;3458.41;3451.74;3533.58;3521.64;3525.35;3463.35;3446.21;3434.17;3421.58;3436.39;3524.55;3603.89;3749.3;3814.65;3726.74;3612.04;3495.27;3403.4;3317.39;3222.12;3214.74;3239.2;3318.15;3467.92;3503.91;3614.98;3518.57;3241.6;3221.8;3273.7;3564;4096.8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Czechia;5432.654;5409.438;5299.19;5288.13;5374.58;5385.11;5326.66;5248.68;5167.11;5094.54;5036.56;5011.82;4992.33;4986.67;4996.69;5073.97;5005.23;4917.35;4856.56;4789.64;4822.25;4853.96;4819.93;4829.07;4863.96;4962.44;5033.31;5056.39;5045.7;5035.578;4993.87;5016.824;5216.234;5377.156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Denmark;3109.508;3073.676;3019;2945;2965;2925;2885;2841;2793;2756;2732;2730;2747;2747;2813;2898;2874;2825;2765;2741;2757;2782;2781;2755;2737;2723;2686;2655;2632;2615;2568;2605;2624;2647;2663;2669;2682;2662;2600;2541;2506;2502;2489;2527;2541;2512;2491;2497;2455;2479;2494;2467;2422;2425;2397;2356;2337;2337;-;-;-;-;-;-
Germany;45385.2;45145.882;44804;44803;45125;44719;44131;43559;43037;42651;42285;41962;41500;41010;40859;40796;40206;39519;39205;39243;39112;39534;39717;39846;39016;38403;37954;37978;37969;37861;37863;38383;38932;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Estonia;668.538;662.143;657.69;656.83;671.45;664.34;661.1;647.3;643.4;627.7;624.1;618.7;605.5;570.2;596.1;658.1;659;653.1;617.5;604.3;605.1;591.8;592;588.2;582.8;609.2;621.7;621.2;636.5;678.5;701.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ireland;2413.189;2393.427;2329.13;2244.98;2279.18;2215.74;2148.17;2085.05;2012.89;1946.53;1894.93;1838.09;1846.84;1886.08;1961.68;2128.43;2141.71;2051.88;1962.3;1870.43;1809.05;1776.08;1748.58;1695.8;1623.05;1524.4;1430.21;1376.42;1327.44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Greece;4732.755;4677.494;4619.96;4598.35;4654.09;4612.63;4412.99;4438.46;4289.61;4439.92;4287.14;4311.47;4490.25;4693.67;4829;4856.36;4795.07;4731.34;4646.87;4604.09;4495.68;4434.29;4328.38;4312.79;4298.69;4297.27;4116.42;4132.66;4156.34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Spain;20845.344;20623.328;20071.83;19482.1;20324.6;19879.3;19438.5;18941.9;18538.6;18035.9;17852.1;18277.3;19026.7;19522.3;19861.9;21201;21162.9;20495.6;19686.3;18883.8;18222;17645.7;17209.8;16664.4;15886.5;15195.2;14560;14037.8;13841.2;13553.959;13585.197;14002.346;14222.726;14012.606;13499.457;13027.368;12586.36;12010.908;11738.794;11860.555;12131.857;12173.954;12279.601;12580.897;12975.6;13198.493;13432.052;13526.008;13672.172;13898.382;13801.725;13532.545;13491.289;13421.101;13332.802;13220.179;13109.914;13005.328;12942.748;12878.774;12812.336;12746.83;12639.443;12613.671
France;29625.799;29513.172;29193;28713;28967;28616;28325;27996;27808;27742;27586;27525;27424;27215;27180;27480;27333;26936;26640;26454;26412;26398;26265;25891;25252;24658;24228;24034;23890;23647;23521;23756;23896;23835;23180.787;22790.373;22574.589;22383.58;22265.075;22317.343;22440.518;22455.399;22405.63;22436.969;22337.876;22193.672;21737.913;21564.037;21402.345;21592.144;21408.304;21123.427;21007.083;20921.394;20650.566;20349.271;20415.786;20367.811;20220.623;20161.99;19945.899;19790.879;19797.74;19802.301
