Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Exports of goods, at current prices (UXGN);National currency:;Belgium;Mrd EURO-BEF;;431.9738;418.3207;391.5013;319.9429;259.4899;283.9471;276.8502;266.1084;243.1541;225.961;230.8226;229.638;230.8624;231.4275;204.6646;174.9474;218.3253;213.0332;200.4455;182.7381;165.7463;152.124;151.3221;145.9982;145.794;123.1649;118.3887;115.7799;104.3841;100.8374;89.4589;82.4114;84.9515;82.8579;77.7635;76.2035;65.6594;57.6722;58.0569;61.211;59.4937;51.1069;46.4757;39.4662;35.3387;32.648;27.8255;26.41;25.9509;21.4026;22.748;17.8362;14.357;12.4484;11.7002;10.1444;8.2635;7.2922;7.0796;6.3937;5.9171;5.2476;4.7013;4.2423;3.8236
Exports of goods, at current prices (UXGN);National currency:;Bulgaria;Mrd BGN;;107.9487;100.2868;92.7062;67.2896;53.3388;56.9525;54.2581;52.705;45.18;42.8622;41.1167;41.489;38.4786;37.2879;27.7446;20.327;26.8621;23.1805;14.2411;10.3587;8.4393;5.4172;4.8122;4.4457;3.7907;6.4337;7.7493;6.8564;0.8155;0.2999;0.1802;0.0857;0.0763;0.0478;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Czechia;Mrd CZK;;5155.597;4775.824;4346.043;3793.948;3388.758;3579.038;3497.314;3402.032;3199.083;3153.079;3039.813;2681.419;2624.117;2440.415;2198.394;1916.601;2140.278;2160.136;1932.904;1716.011;1432.638;992.849;878.271;868.658;759.435;624.308;606.901;524.099;449.569;419.689;343.64;338.283;309.438;276.506;212.276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Denmark;Mrd DKK;;1234.739;1140.277;1014.671;893.448;780.49;799.053;753.497;733.351;698.931;695.203;669.802;656.441;644.498;632.457;568.345;505.862;598.663;551.914;537.604;489.15;440.446;420.019;429.648;414.723;398.736;342.813;319.172;316.79;293.378;281.768;267.848;243.117;245.836;237.167;224.386;213.133;189.992;177.745;174.356;182.409;168.605;149.362;131.715;116.081;97.011;78.093;65.132;60.256;54.759;49.838;46.37;37.725;30.574;27.295;25.147;22.638;19.787;17.654;16.942;16.102;14.717;13.23;11.581;10.674;10.368
Exports of goods, at current prices (UXGN);National currency:;Germany;Mrd EURO-DEM;;1701.021;1643.531;1554.087;1367.417;1186.834;1303.727;1290.468;1256.859;1179.168;1166.593;1106.924;1068.665;1072.019;1029.689;917.244;769.987;948.741;926.753;841.48;739.847;685.976;619.678;611.849;599.226;562.199;479.767;458.589;429.1;381.466;362.24;335.011;304.364;326.071;324.35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Estonia;Mrd EURO-EEK;;24.04151;22.57377;20.72004;16.36664;13.28962;13.31712;12.59209;11.96379;11.23562;10.69226;11.02579;10.96828;10.74945;10.38407;7.48174;5.2951;7.1579;6.8389;5.5462;4.6271;3.5218;2.9132;2.5513;2.3329;2.0663;2.2478;2.3214;1.9745;1.3539;1.2176;0.992;0.67452;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Ireland;Mrd EURO-IEP;;420.8249;393.9866;357.0407;279.3588;242.3794;225.944;211.7571;197.824;193.1598;200.3269;114.4603;98.7327;101.8685;100.5779;103.2545;97.2733;96.1644;99.7866;93.3542;89.9193;84.6966;79.6187;90.7807;86.7305;80.0681;64.195;54.989;46.203;39.0497;35.2046;28.501;24.7331;20.9777;18.6519;17.9094;18.2494;15.3448;13.2783;11.6687;12.1086;11.0526;8.6589;7.1073;6.0871;5.0896;4.3152;3.7134;3.0812;2.3527;1.7423;1.348;1.0839;0.8039;0.6637;0.5783;0.5032;0.4522;0.3902;0.3382;0.2972;0.27;0.237;0.2095;0.2159;0.1837
Exports of goods, at current prices (UXGN);National currency:;Greece;Mrd EURO-GRD;;63.70806;60.01959;54.33943;39.12194;30.11015;33.11494;32.61255;28.08017;24.58551;24.81212;26.16664;26.32327;26.58105;23.37905;20.22041;20.2267;24.67996;23.3837;20.45005;17.72071;15.90738;14.06724;14.38804;15.22241;14.78323;11.90432;10.85167;10.25288;9.1356;8.59598;7.41592;6.55821;6.56304;5.45499;4.61451;4.29675;3.46111;3.38069;3.09105;2.35457;2.09909;1.71211;1.46239;1.43396;1.08386;0.64428;0.44382;0.39152;0.34315;0.28571;0.24428;0.15358;0.08496;0.0641;0.06228;0.05526;0.04724;0.05121;0.0494;0.03508;0.03173;0.03013;0.0268;0.03085;0.02658
Exports of goods, at current prices (UXGN);National currency:;Spain;Mrd EURO-ESP;;401.3497;374.8042;355.6435;320.767;265.45;294.685;291.209;281.231;259.451;252.838;241.991;238.382;226.839;218.574;192.016;164.687;193.476;191.268;170.096;156.808;150.002;139.943;135.287;132.75;127.665;107.722;100.958;94.319;78.921;70.24;59.5346;47.4293;41.0577;37.9172;34.3255;31.7655;28.6075;25.998;23.7847;25.8494;23.7588;18.5071;14.3125;11.9186;9.2306;7.5652;6.3584;4.9769;3.7455;2.8;2.6164;1.9371;1.5634;1.2902;1.0774;0.8438;0.6904;0.47;0.4031;0.3038;0.3014;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;France;Mrd EURO-FRF;;741.9637;686.5351;620.6538;509.696;448.39;536.655;521.49;497.767;468.789;469.67;445.843;443.174;440.063;427.402;390.583;346.794;417.712;404.587;391.096;359.395;341.301;321.437;330.476;332.627;325.4;283.298;274.318;257.394;223.172;213.101;194.524;177.486;182.96;178.189;170.744;165.632;145.228;130.046;126.562;133;125.463;107.744;94.655;86.049;72.928;63.827;53.818;48.202;41.04;34.397;33.478;24.375;20.024;17.468;15.21;11.976;9.671;8.663;8.21;7.606;6.77;6.094;5.514;5.406;5.155
Exports of goods, at current prices (UXGN);National currency:;Croatia;Mrd EURO-HRK;;23.47681;22.17352;20.56512;15.58743;12.01083;12.61154;12.01268;11.57289;10.48859;10.28253;9.54685;8.96595;8.65249;8.62709;7.79294;6.42666;7.63433;7.45307;6.94005;5.95412;5.30248;4.35455;4.12741;3.70118;3.47577;2.39671;2.22943;2.21253;2.25975;2.02056;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Italy;Mrd EURO-ITL;;686.3575;633.7587;589.5435;494.7704;414.5308;458.9854;451.3327;434.6743;406.2818;403.2609;387.5503;377.3213;376.5237;364.0923;328.2602;284.7021;361.3181;356.9524;324.9856;293.323;278.1546;259.3372;263.1174;267.052;253.8147;215.6324;215.2492;207.8522;198.1837;194.4742;156.9285;135.5273;111.3953;106.5037;103.302;97.7705;84.4204;76.5489;73.2894;73.9711;66.3204;56.0522;50.4784;44.4538;33.9036;30.4054;24.0797;20.262;15.7986;11.5954;10.0587;6.5927;5.5089;4.7518;4.1893;3.7225;3.2335;2.7657;2.5508;2.2868;1.8944;1.6071;1.4893;1.3315;1.1636
Exports of goods, at current prices (UXGN);National currency:;Cyprus;Mrd EURO-CYP;;4.609902;4.415773;4.145098;3.5897;2.969;3.0797;3.6886;2.7847;2.5973;2.8779;2.6687;2.7125;3.0397;3.0269;2.6858;2.4379;2.2868;2.0254;1.9101;2.1628;1.9001;1.7642;1.8387;2.0761;2.0271;1.8985;2.1088;2.0161;2.1299;1.6994;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Latvia;Mrd EURO-LVL;;22.6128;21.56558;20.71542;16.19404;13.44021;12.76138;12.58745;11.6232;10.49413;10.43845;10.32427;9.84035;9.72497;8.39157;6.66909;5.01435;6.15898;5.65522;4.46662;3.87238;2.69482;1.94137;1.81109;1.64039;1.43317;1.25975;1.34894;1.21425;0.93142;0.82002;0.64915;0.8074;0.66938;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Lithuania;Mrd EURO-LTL;;45.55124;42.5679;40.16146;31.64838;25.53545;25.95365;24.55162;22.76338;19.47022;19.65506;20.55374;22.12754;21.40544;18.84272;14.65953;11.13763;15.35921;11.83476;10.79888;9.05223;6.71911;5.86646;5.46289;4.74009;3.75357;2.69036;3.64909;3.92068;3.0038;2.17198;1.62111;1.74793;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Luxembourg;Mrd EURO-LUF;;33.85221;31.91516;30.01766;25.01347;21.5746;24.30452;24.25122;23.45221;21.44781;21.26692;22.12823;21.93453;21.4301;21.2974;17.63388;13.21876;17.2119;14.74313;13.74706;11.44669;11.20007;9.97384;9.87778;10.07148;9.20436;7.45975;7.95633;6.86037;6.04145;6.16424;5.57133;5.15912;5.25258;5.39269;5.17485;5.1189;4.52011;3.976;4.1401;4.26747;3.69916;2.8392;2.60199;2.26124;2.2411;2.18917;1.84948;1.75374;1.80347;1.66887;2.10562;1.48015;1.12144;1.07547;1.08835;0.88422;0.72294;0.63901;0.62545;0.63086;0.58955;0.5077;0.49561;0.52014;0.52338
Exports of goods, at current prices (UXGN);National currency:;Hungary;Mrd HUF;;54365.84;51898.26;46644.88;37028.68;31144.71;30103.77;28233.87;26379.84;24471.25;24316.51;22786.27;20862.35;20232.17;20042.12;18205.57;15909.03;18034.55;16782.8;15002.65;12009.96;10509.63;8673.64;7875.65;7526.44;6799.1;4760.03;3924.83;2811.08;1815.7;1430.42;734.63;539.3;526.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Malta;Mrd EURO-MTL;;3.995692;3.76274;3.482987;3.00984;2.99336;3.42373;3.16622;3.03158;2.49751;2.61907;2.54077;2.81659;3.20059;2.84722;2.52529;1.95661;2.43161;2.60719;2.48553;1.98814;2.14887;2.27124;2.35456;2.11959;2.5336;1.8749;1.64979;1.49367;1.48655;1.59865;1.415918;1.236598;1.185241;0.990171;0.875334;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Exports of goods, at current prices (UXGN);National currency:;Netherlands;Mrd EURO-NLG;;737.2861;723.4679;676.1766;548.404;459.196;490.287;484.921;460.77;420.899;418.373;409.005;407.564;405.627;382.032;342.992;292.382;354.202;336.377;314.93;281.68;256.337;231.428;229.437;235.447;233.076;192.177;180.848;173.169;154.854;148.867;132.7848;120.755;120.2477;120.853;115.1609;110.202;98.1331;90.0228;92.4935;107.4353;100.844;89.0556;86.0281;82.7572;71.6112;63.1369;53.1943;51.9342;51.363;43.6621;43.3342;32.5615;26.8828;23.7594;20.937;17.7321;14.9042;13.1186;12.2948;11.5345;10.3927;9.0246;8.293;7.7968;7.7419
