"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1985","1985","PC","Percentage","0","Units",,,1.12423579033516,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1986","1986","PC","Percentage","0","Units",,,1.37694777866471,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1987","1987","PC","Percentage","0","Units",,,1.69590155024471,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1988","1988","PC","Percentage","0","Units",,,2.74300235302663,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1989","1989","PC","Percentage","0","Units",,,3.28945657931188,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1990","1990","PC","Percentage","0","Units",,,2.05365763417096,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1991","1991","PC","Percentage","0","Units",,,-1.01539869688038,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1992","1992","PC","Percentage","0","Units",,,-0.431391605321718,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1993","1993","PC","Percentage","0","Units",,,-0.69544120320526,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1994","1994","PC","Percentage","0","Units",,,0.119768572961809,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1995","1995","PC","Percentage","0","Units",,,-0.584525588278595,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1996","1996","PC","Percentage","0","Units",,,-0.472118598873739,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1997","1997","PC","Percentage","0","Units",,,0.0628398532555696,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1998","1998","PC","Percentage","0","Units",,,0.49054462092597,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","1999","1999","PC","Percentage","0","Units",,,1.20159032278442,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2000","2000","PC","Percentage","0","Units",,,1.33452884284664,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2001","2001","PC","Percentage","0","Units",,,-1.18626765120209,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2002","2002","PC","Percentage","0","Units",,,-2.35431207883317,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2003","2003","PC","Percentage","0","Units",,,-2.07084900677511,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2004","2004","PC","Percentage","0","Units",,,-0.595186534556813,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2005","2005","PC","Percentage","0","Units",,,0.63361395756858,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.22993510660114,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2007","2007","PC","Percentage","0","Units",,,1.12964543023615,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2008","2008","PC","Percentage","0","Units",,,-0.73711605237079,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2009","2009","PC","Percentage","0","Units",,,-4.88412437161886,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2010","2010","PC","Percentage","0","Units",,,-3.72845757279723,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2011","2011","PC","Percentage","0","Units",,,-3.68457366899619,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2012","2012","PC","Percentage","0","Units",,,-3.0412754908447,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2013","2013","PC","Percentage","0","Units",,,-2.87110683739463,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2014","2014","PC","Percentage","0","Units",,,-2.3771116001818,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.57229663922091,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2016","2016","PC","Percentage","0","Units",,,-1.77499425959963,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2017","2017","PC","Percentage","0","Units",,,-1.41939807458544,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2018","2018","PC","Percentage","0","Units",,,-0.375936518848952,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.11676725438976,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2020","2020","PC","Percentage","0","Units",,,-4.16226948405317,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,0.045047910191176,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2022","2022","PC","Percentage","0","Units",,,0.306405873134863,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2023","2023","PC","Percentage","0","Units",,,-0.802207086629114,,
"USA","United States","GAP","Output gap as a percentage of potential GDP","A","Annual","2024","2024","PC","Percentage","0","Units",,,-1.50975035082033,,
