year;oilprice
1960;2.78294076328729
1961;2.78294076328729
1962;2.78294076328729
1963;2.78294076328729
1964;2.75951533598689
1965;2.73608990868649
1966;2.75170686022009
1967;2.83603839850152
1968;2.87664247248888
1969;3.08747131819246
1970;3.13978810583002
1971;3.33578084757668
1972;3.33578084757668
1973;3.62859868883166
1974;9.71920978693515
1975;10.4571107468977
1976;11.8485811285413
1977;13.3954401779443
1978;13.9147038164364
1979;20.99308709904
1980;35.0210138140951
1981;34.3572933739172
1982;31.5173507375322
1983;28.4806345118239
1984;27.4316438773122
1985;26.2109448606884
1986;14.0927370639195
1987;18.052154218372
1988;14.9408333333333
1989;18.2408333333333
1990;23.7080956604834
1991;20.0262576250167
1992;19.3018613408167
1993;17.0292640203417
1994;15.8273908329834
1995;17.0313946106833
1996;20.6286794536833
1997;19.1459497648833
1998;12.8026752425333
1999;17.8529756836
2000;28.4381826425666
2001;24.4611995647083
2002;24.9729355302584
2003;28.82125716795
2004;38.2588946324167
2005;54.444288239525
2006;65.1905885512833
2007;72.5008953212833
2008;97.0230356028334
2009;61.5371581486
2010;79.4861978261834
2011;111.230590396717
2012;111.582794903925
2013;108.680810488417
2014;98.9859181331915
2015;52.4453077299667
2016;43.6720459956667
2017;54.2343538109333
2018;70.9908448658167
2019;64.2134267284666
2020;41.5909506366417
2021;70.6392846431833
2022;102.550698337799
2023;95
2024;95
