Country;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;1939.382;1940.84;1936.754;1930.881;1924.581;1916.044;1905.53;1895.965;1886.242;1874.084;1849.765;1823.555;1807.666;1799.092;1796.915;1795.48;1796.149;1800.069;1803.972;1805.168;1804.937;1805.017;1806.277;1809.257;1814.111;1821.92;1828.817;1830.106;1825.335;1816.266;1806.216;1800.873;1801.538;1806.722;1822.719;1848.657;1880.07;1907.276;1932.124;1956.398;1982.317;2019.014;2060.456;2100.912;2140.01;2177.162;2210.849;2237.474;2257.046;2269.572;2277.809;2285.621;2289.389;2287.54;2277.259;2259.022;2234.499;2211.532;2196.319;2181.63;2154.074
Bulgaria;1000.636;1003.552;1004.61;1002.698;999.613;998.201;997.17;993.067;984.973;977.544;975.66;977.044;982.4;994.68;1012.991;1038.643;1072.079;1110.809;1152.177;1219.833;1283.72;1320.817;1364.132;1412.532;1459.436;1504.731;1550.697;1594.086;1649.65;1713.875;1772.157;1844.564;1896.483;1910.117;1921.229;1936.432;1953.055;1966.328;1970.477;1966.154;1961.71;1954.608;1955.195;1957.76;1949.231;1941.505;1930.82;1920.664;1922.393;1930.202;1937.879;1940.244;1939.566;1948.575;1964.134;1985.411;2008.718;2026.149;2037.736;2047.132;2050.901
Czechia;1714.971;1701.631;1681.869;1658.976;1635.495;1612.381;1589.25;1568.876;1550.769;1531.503;1507.848;1485.494;1474.831;1473.678;1485.789;1509.957;1537.06;1568.967;1603.501;1641.07;1684.623;1729.338;1773.252;1818.856;1867.969;1920.642;1978.929;2037.189;2092.674;2148.22;2214.174;2284.363;2339.13;2377.596;2402.367;2417.181;2424.774;2425.982;2422.373;2416.958;2410.846;2397.806;2372.487;2332.869;2280.95;2222.013;2158.694;2106.237;2080.913;2078.719;2098.359;2127.402;2156.456;2191.701;2228.401;2261.543;2285.296;2309.65;2353.033;2408.402;2452.874
Denmark;950.951;955.294;959.02;961.069;960.921;961.461;965.659;973.133;982.027;990.773;998.203;1004.702;1009.002;1012.035;1015.016;1017.012;1017.862;1015.312;1009.124;999.786;987.759;974.396;959.916;944.567;928.314;910.298;895.084;885.907;878.754;874.287;877.093;884.93;895.294;909.619;926.542;942.923;960.045;980.839;1006.309;1037.592;1068.151;1091.918;1111.157;1126.203;1136.85;1143.432;1147.056;1149.029;1148.634;1147.064;1148.036;1150.956;1153.733;1152.404;1142.796;1131.981;1124.996;1122.089;1126.862;1138.806;1154.357
Germany;11434.53;11341.037;11231.287;11110.164;10964.847;10783.925;10664.578;10662.668;10727.955;10857.104;10981.918;11080.87;11210.401;11361.531;11545.619;11787.265;12043.384;12288.845;12517.212;12698.043;12837.128;12938.529;13039.227;13142.829;13212.866;13266.41;13301.018;13274.805;13170.851;13018.648;12788;12502.352;12258.07;12176.763;12261.818;12436.779;12757.268;13186.159;13629.626;14062.383;14472.384;14909.135;15402.448;15906.517;16416.988;16929.502;17370.355;17706.609;17948.96;18059.488;18138.646;18152.957;18019.323;17844.11;17621.258;17352.908;17063.354;16718.797;16333.829;15942.736;15498.705
Estonia;218.587;218.063;216.325;214.418;212.527;210.552;208.843;207.424;206.214;204.849;202.86;200.655;199.05;199.135;201.46;206.01;212.715;220.9;229.62;238.095;246.305;255.455;266.016;276.375;286.63;297.232;308.047;320.15;334.309;345.102;349.208;349.436;347.675;345.261;342.581;339.949;336.941;333.354;329.017;324.294;319.933;316.782;314.857;313.187;311.883;311.06;310.201;309.01;306.911;303.172;299.587;298.232;296.939;295.78;295.634;294.477;292.231;289.742;286.47;282.381;278.267
Ireland;1003.24;1006.912;1007.103;1007.452;1006.479;1002.955;999.21;994.972;989.382;978.967;962.687;942.693;919.757;893.402;870.783;856.613;846.295;837.196;830.161;827.558;828.153;830.267;835.114;843.854;856.718;873.589;893.18;911.854;926.883;938.707;951.735;968.991;988.867;1008.071;1011.766;1022.031;1043.832;1051.8;1052.45;1046.55;1037.895;1030.245;1019.95;1008.35;997.65;985.65;972.3;958.85;946.2;934.3;923.8;915.7;910.2;906.05;901.75;897.7;893.8;888.95;883.25;878.5;875.9
Greece;1519.127;1532.297;1541.871;1550.668;1555.716;1567.341;1589.011;1607.861;1620.849;1627.167;1627.895;1625.546;1621.071;1623.023;1633.528;1647.056;1663.584;1683.399;1701.187;1638.64;1577.501;1599.533;1629.452;1664.571;1706.863;1756.784;1806.826;1855.185;1901.36;1945.941;1973.57;1999.232;2041.01;2080.667;2117.513;2114.607;2107.105;2131.243;2156.174;2178.59;2199.782;2213.581;2205.423;2193.319;2175.822;2160.391;2165.919;2181.075;2193.811;2201.634;2166.463;2202.275;2200.508;2192.255;2187.258;2184.444;2178.299;2173.308;2182.169;2197.064;-
Spain;6818.233;6903.635;6954.34;6991.872;7015.29;7037.24;7058.017;7078.476;7083.469;7045.32;6973.746;6884.558;6758.847;6604.081;6453.03;6320.987;6212.7;6108.458;6003.129;5948.8;5967.867;6032.162;6129.178;6255.142;6409.161;6589.544;6789.844;7004.478;7223.154;7456.619;7729.444;8014.392;8278.022;8526.103;8758.25;8967.939;9155.161;9325.244;9484.18;9622.417;9731.484;9820.47;9871.92;9870.522;9829.78;9780.41;9723.025;9655.287;9590.788;9508.071;9368.5;9257.831;9141.731;9007.471;8869.905;8756.172;8663.708;8578.381;8502.03;8428.86;8268.929
France;11997.67;12076.064;12146.039;12200.265;12252.622;12314.738;12336.363;12259.995;12161.83;12099.858;12038.419;11966.95;11881.009;11811.006;11755.219;11715.959;11699.675;11685.821;11668.191;11640.018;11596.113;11550.107;11537.249;11576.952;11648.626;11725.843;11792.462;11835.235;11853.531;11837.121;11814.892;11822.831;11875.043;11969.037;12076.498;12173.829;12259.536;12340.298;12394.346;12438.803;12502.026;12597.847;12731.569;12851.662;12966.612;13078.166;13167.353;13205.937;13180.975;13127.665;13070.94;13033.786;13003.528;12987.76;12968.271;12945.733;12921.071;12875.216;12771.324;12653.309;12492.066
Croatia;578.179;584.629;591.09;598.922;607.461;616.261;624.344;632.089;640.853;650.04;657.805;662.359;666.123;670.335;676.468;683.513;690.694;700.473;710.982;719.675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
