Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;7432.069;7417.235;7406.126;7387.657;7363.089;7342.243;7331.328;7327.769;7311.229;7290.967;7286.626;7278.591;7260.22;7198.835;7124.469;7074.056;7011.714;6941.503;6878.878;6835.178;6804.809;6774.421;6743.339;6723.898;6715.128;6708.71;6706.149;6703.182;6703.817;6702.675;6693.531;6681.929;6674.986;6673.793;6674.496;6665.781;6653.583;6650.295;6646.672;6626.914;6586.214;6535.184;6501.444;6471.031;6423.89;6385.921;6348.455;6304.991;6258.802;6208.561;6165.774;6132.447;6098.519;6084.595;6079.89;6064.854;6048.417;6030.336;6008.854;5971.782;5926.831;5890.959;5891.006;5903.989
Bulgaria;4315.126;4352.966;4391.139;4429.311;4473.606;4532.913;4596.237;4661.258;4728.732;4797.769;4865.479;4932.64;5000.019;5065.482;5122.14;5170.341;5214.454;5252.708;5283.694;5307.489;5327.037;5347.528;5455.185;5558.466;5574.854;5593.034;5612.889;5627.563;5639.246;5650.137;5657.087;5692.199;5743.918;5797.516;5906.383;5982.074;5987.042;5993.569;6004.468;6003.668;5967.806;5917.266;5871.277;5848.518;5848.376;5849.816;5848.485;5837.207;5832.79;5828.205;5806.209;5785.509;5763.918;5737.532;5706.918;5669.206;5625.483;5579.879;5531.324;5471.698;5405.772;5344.899;5284.402;5225.626
Czechia;6766.358;6786.718;6807.14;6837.911;6861.115;6884.659;6920.909;6970.169;7027.27;7083.122;7148.816;7225.49;7295.382;7348.318;7380.507;7375.286;7327.812;7284.136;7256.24;7231.591;7204.812;7177.379;7163.011;7156.08;7139.764;7114.471;7090.221;7067.008;7042.355;7005.121;6957.116;6904.841;6851.85;6822.141;6791.392;6747.495;6720.475;6707.258;6697.628;6679.775;6640.712;6586.966;6534.522;6506.913;6497.293;6487.602;6491.085;6503.439;6519.324;6539.053;6552.039;6550.664;6540.799;6571.626;6599.461;6578.028;6551.62;6518.011;6477.738;6435.468;6384.432;6321.898;6254.536;6237.402
Denmark;3762.816;3747.825;3732.893;3714.322;3713.101;3708.553;3698.293;3682.292;3659.247;3638.885;3628.531;3625.603;3628.867;3631.16;3629.215;3620.351;3605.51;3593.369;3584.655;3578.12;3573.797;3570.339;3565.733;3560.685;3556.969;3553.336;3548.196;3540.508;3525.987;3511.225;3500.511;3488.962;3477.009;3462.639;3449.501;3440.752;3428.993;3412.613;3399.274;3387.762;3375.204;3360.006;3339.229;3316.783;3295.442;3275.05;3257.975;3245.174;3238.873;3235.494;3225.414;3209.911;3196.865;3175.777;3150.015;3133.581;3118.388;3101.67;3084.835;3065.701;3042.274;3011.982;2975.559;2940.03
Germany;52808.203;53032.354;53277.457;53545.183;53764.818;53877.874;53937.131;53978.88;53708.242;53347.162;53198.955;53038.575;53458.785;53921.995;54006.059;54275.817;54495.824;54746.15;55063.395;55359.153;55595.924;55719.012;55772.014;55851.747;55952.361;55991.033;55980.345;55907.351;55774.53;55686.309;55613.337;55349.371;55022.887;54791.779;54493.191;54203.715;54077.378;54002.664;53931.168;53830.813;53500.644;52963.272;52317.571;51602.96;51002.333;50585.682;50302.146;50117.503;50067.497;50087.861;49922.564;49639.609;49367.372;49349.799;49280.182;48999.962;49066.036;49210.404;49100.357;48984.449;48951.405;48857.171;48861.994;48958.412
Estonia;837.011;839.114;841.699;842.471;844.767;845.537;846.538;850.863;856.369;862.286;870.655;880.146;889.27;896.38;901.23;904.805;908.66;915.36;922.26;926.635;930.255;933.965;937.85;941.235;929.161;917.339;922.459;931.623;945.043;962.494;984.126;1011.274;1031.25;1037.389;1038.444;1036.625;1031.469;1023.514;1014.437;1005.247;997.591;989.728;980.648;972.769;967.349;962.385;955.901;948.858;941.833;934.508;926.475;918.18;909.956;899.959;889.207;879.555;872.238;865.54;856.143;844.784;832.687;821.456;811.313;804.702
Ireland;3367.704;3324.486;3288.707;3254.534;3223.602;3180.169;3142.354;3113.337;3084.312;3063.978;3054.687;3055.357;3064.928;3078.877;3090.117;3082.186;3030.917;2938.179;2844.263;2771.804;2715.238;2664.344;2607.192;2550.759;2501.775;2457.222;2412.831;2366.258;2323.205;2287.549;2256.404;2225.254;2191.839;2161.405;2144.06;2141.813;2142.278;2139.83;2130.579;2110.98;2086.45;2062.55;2037.5;2009.091;1981.391;1950.65;1919.05;1889.15;1856.5;1822;1788.05;1755.65;1726.25;1704.5;1690;1679.65;1671.65;1663.5;1657.05;1651.25;1643.95;1635.25;1629.95;1637.3
Greece;6664.765;6703.303;6742.115;6782.443;6814.549;6839.294;6874.059;6913.957;6972.58;7049.601;7134.209;7230.053;7314.645;7365.541;7385.007;7383.183;7367.695;7345.798;7321.994;7301.981;7288.044;7279.564;7311.309;7333.186;7317.804;7294.187;7248.111;7203.335;7158.801;7110.84;7062.627;7005.078;6930.716;6824.359;6720.405;6649.419;6592.028;6536.989;6505.555;6472.612;6408.836;6336.132;6266.758;6175.633;6088.822;6010.638;5936.798;5869.344;5779.423;5721.591;5704.283;5681.175;5645.14;5653.642;5695.213;5700.735;5674.082;5631.249;5592.388;5575.642;5568.512;5548.586;5502.137;-
Spain;31444.778;31288.336;31179.209;31228.302;31044.756;30810.878;30710.307;30710.38;30764.503;30906.847;31190.519;31494.526;31641.859;31706.453;31744.205;31613.128;31165.995;30578.634;30085.152;29550.913;28959.428;28391.735;27998.012;27840.826;27725.983;27605.162;27471.366;27305.839;27116.07;26898.383;26647.568;26371.63;26089.33;25858.493;25673.681;25489.841;25304.313;25110.013;24903.714;24670.889;24419.337;24154.104;23867.728;23580.987;23294.786;23017.367;22765.064;22527.878;22295.774;22064.512;21832.974;21602.974;21389.206;21161.757;21042.386;20912.522;20742.612;20566.183;20390.896;20212.496;20055.81;19925.256;19806.716;19527.066
France;41694.891;41669.889;41644.902;41620.762;41575.278;41641.877;41687.102;41744.21;41833.028;41915.875;41918.268;41920.616;41995.702;41972.434;41860.39;41745.86;41576.014;41316.645;40995.701;40670.762;40360.365;40061.613;39780.85;39523.326;39302.915;39149.476;39035.136;38914.29;38798.085;38694.121;38601.065;38496.293;38393.918;38313.458;38176.544;37972.281;37743.754;37522.317;37333.473;37052.273;36639.115;36185.309;35683.642;35196.056;34830.482;34562.337;34318.672;34062.375;33828.801;33604.951;33331.407;33043.546;32751.199;32438.895;32126.511;31856.186;31626.352;31399.527;31143.319;30840.021;30494.994;29881.132;29281.098;29042.868
