Country;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;2217.202;2185.051;2148.057;2112.949;2079.073;2046.923;2012.56;1976.817;1942.098;1903.961;1871.671;1848.469;1828.252;1814.894;1809.539;1804.259;1789.81;1771.255;1754.391;1738.064;1722.414;1706.273;1688.022;1665.839;1639.344;1611.074;1584.11;1560.839;1537.894;1513.234;1487.37;1462.327;1434.345;1409.767;1388.809;1362.979;1348.389;1362.03;1388.996;1401.14;1405.894;1405.479;1393.156;1380.991;1373.226;1364.735;1353.009;1338.473;1321.621;1305.071;1293.145;1280.522;1264.513;1245.034;1220.213;1195.791;1171.833;1151.407;1133.299;1111.312;1095.426
Bulgaria;1504.068;1498.604;1487.514;1477.012;1466.951;1451.058;1428.998;1406.569;1388.275;1370.765;1354.457;1345.259;1339.819;1336.205;1335.323;1336.636;1337.291;1337.481;1337.456;1325.047;1321.399;1314.944;1299.62;1286.646;1275.826;1262.089;1242.756;1221.14;1198.316;1174.575;1148.616;1126.026;1102.889;1074.199;1043.374;1019.647;1003.957;1005.604;1029.714;1053.686;1051.308;1022.956;1009.02;997.938;972.161;946.447;919.719;894.094;868.299;842.275;814.163;787.01;760.831;736.168;714.043;687.433;663.923;646.224;630.312;611.584;590.848
Czechia;2144.976;2109.124;2063.4;2014.553;1960.667;1906.409;1852.975;1796.581;1734.527;1669.203;1618.245;1577.935;1534.486;1497.338;1468.981;1445.02;1428.45;1420.219;1416.036;1412.523;1414.36;1414.758;1406.65;1395.055;1380.264;1364.256;1349.538;1335.55;1321.608;1308.458;1296.983;1285.313;1268.651;1249.248;1232.602;1222.309;1225.664;1257.162;1305.487;1349.073;1386.433;1397.242;1382.01;1362.801;1341.551;1317.283;1290.712;1263.99;1236.056;1207.297;1188.087;1169.717;1141.863;1109.579;1074.628;1040.077;1007.041;976.603;949.728;923.712;911.73
Denmark;1166.132;1146.027;1126.063;1105.618;1084.797;1062.776;1038.932;1013.267;983.942;950.932;918.32;889.178;864.269;843.893;828.886;817.765;808.54;801.465;796.468;793.264;791.173;790.435;790.968;792.228;794.252;797.088;799.872;802.211;803.654;803.002;801.207;798.029;793.471;788.413;781.379;771.494;763.813;758.254;751.495;744.751;738.094;729.442;718.041;704.241;690.573;677.558;662.747;647.419;633.051;619.196;604.945;590.888;577.568;564.562;552.915;542.196;531.375;520.119;508.882;497.323;485.216
Germany;18181.159;17987.107;17796.622;17609.708;17404.942;17194.445;16970.761;16783.983;16659.294;16723.863;16873.018;16815.378;16623.879;16409.017;16084.682;15618.763;15113.723;14649.407;14252.271;13879.868;13522.633;13209.354;13016.936;12911.597;12794.615;12637.112;12451.022;12268.221;12104.377;11972.361;11853.236;11755.706;11682.78;11585.727;11455.923;11316.929;11270.647;11441.556;11740.57;12028.081;12213.393;12215.095;12103.97;11951.503;11802.882;11677.046;11509.772;11308.105;11100.543;10886.676;10681.564;10477.286;10275.776;10041.939;9769.397;9511.172;9271.267;9044.867;8835.477;8573.576;8358.426
Estonia;268.465;264.068;260.115;256.428;252.399;248.487;244.216;239.918;236.336;233.32;232.235;232.63;233.235;232.885;229.99;226.505;223.2;219.565;215.765;212.17;209.445;196.718;202.8;200.701;197.342;194.359;191.973;189.852;187.507;184.962;182.577;173.131;170.48;175.49;174.096;174.396;176.428;177.801;179.669;182.724;184.517;178.493;177.236;181.123;178.835;176.459;173.461;170.466;167.427;163.827;160.529;157.81;154.72;150.929;147.422;143.946;140.071;136.428;133.698;131.383;128.569
Ireland;727.608;703.826;680.044;657.583;635.518;614.69;594.551;574.157;554.795;536.19;518.591;502.565;487.601;474.623;465.09;459.038;452.164;444.086;437.442;431.493;426.262;422.743;420.361;417.485;414.535;412.047;409.658;408.003;406.293;403.687;400.835;397.958;394.27;389.708;388.094;386.602;378.693;372.3;370.8;368.95;365.818;362.118;358.5;354.8;351.25;347.4;343.2;339.05;335;331.5;328.95;326.95;325.7;324.75;323.55;322.55;321.5;319.75;317.55;315.95;315.4
Greece;2397.028;2374.737;2351.717;2329.951;2306.297;2280.963;2253.8;2223.141;2194.109;2163.087;2127.904;2096.464;2073.588;2057.755;2041.037;2018.263;1989.576;1956.626;1921.272;1912.183;1895.121;1844.36;1796.871;1748.578;1698.602;1646.568;1595.257;1542.602;1492.622;1443.27;1398.862;1369.861;1346.553;1327.901;1312.712;1313.868;1316.084;1306.548;1297.207;1284.002;1267.09;1245.855;1171.018;1178.362;1142.985;1106.728;1074.512;1043.728;1013.642;984.263;972.701;875.277;839.523;817.751;795.145;773.502;756.488;737.806;717.478;698.849;-
Spain;9319.118;9186.445;9032.535;8891.057;8758.392;8643.089;8516.018;8351.05;8195.06;8055.518;7896.698;7734.184;7582.131;7456.727;7365.654;7247.016;7158.281;7119.759;7036.694;6903.599;6759.17;6628.73;6489.169;6330.881;6174.851;6018.436;5860.881;5709.215;5562.901;5420.427;5279.384;5139.69;4999.076;4854.4;4716.362;4597.86;4504.314;4426.943;4347.728;4268.486;4049.298;4076.074;3975.612;3876.052;3780.154;3681.717;3585.798;3500.686;3410.708;3327.214;3230.949;3149.431;3067.682;2981.296;2895.82;2816.532;2742.412;2671.997;2605.739;2541.597;2469.819
France;13870.018;13597.584;13314.015;13030.653;12727.271;12400.506;12059.828;11704.902;11356.221;11032.292;10802.319;10672.415;10551.84;10434.45;10365.487;10285.735;10162.119;10031.98;9914.258;9780.808;9642.73;9498.756;9359.985;9218.547;9061.426;8894.789;8723.146;8558.823;8395.566;8228.107;8059.053;7897.392;7738.747;7574.817;7407.506;7233.305;7165.796;7238.065;7349.978;7487.388;7601.542;7591.711;7493.048;7382.378;7283.56;7193.077;7085.152;6971.149;6857.061;6742.243;6621.048;6505.752;6394.522;6265.073;6118.519;5982.461;5852.943;5737.924;5616.622;5478.552;5386.888
