Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;11740.388;11670.366;11589.241;11544.241;11488.98;11427.054;11375.158;11331.422;11274.196;11209.057;11159.407;11106.931;11038.264;10920.272;10796.493;10709.973;10625.7;10547.958;10478.617;10421.137;10376.133;10332.785;10286.57;10251.25;10226.419;10203.008;10181.245;10156.637;10136.811;10115.603;10084.475;10045.158;10004.486;9967.378;9937.697;9901.664;9870.234;9861.823;9858.308;9855.372;9855.52;9856.303;9858.982;9859.242;9848.382;9839.534;9830.358;9818.227;9800.7;9772.419;9741.72;9711.115;9673.162;9655.549;9646.032;9618.756;9580.991;9527.807;9463.667;9378.113;9289.77;9220.578;9183.948;9153.489
Bulgaria;6807.168;6848.138;6889.355;6934.015;6975.761;7025.037;7075.947;7127.822;7177.991;7223.938;7265.115;7305.888;7348.327;7395.599;7444.442;7492.561;7545.338;7601.022;7658.972;7716.86;7775.327;7837.161;8009.142;8170.172;8210.624;8256.786;8312.068;8362.825;8406.067;8443.591;8472.313;8540.164;8632.367;8718.289;8876.972;8981.446;8971.358;8958.171;8960.547;8960.679;8939.738;8917.457;8891.117;8861.535;8825.94;8814.032;8804.183;8758.599;8720.742;8678.745;8620.967;8576.2;8536.395;8489.573;8434.172;8369.603;8310.226;8258.057;8204.168;8144.34;8078.145;8012.946;7943.118;7867.374
Czechia;11151.208;11058.318;10694.699;10697.858;10671.87;10629.928;10594.438;10566.332;10546.059;10525.347;10514.272;10510.785;10496.088;10474.41;10443.936;10384.603;10298.828;10238.905;10211.216;10197.101;10193.998;10196.916;10216.605;10255.063;10283.859;10294.373;10304.131;10315.241;10327.252;10333.587;10329.855;10319.123;10308.578;10333.355;10361.068;10355.276;10347.318;10342.227;10337.118;10330.213;10323.856;10314.825;10300.591;10304.193;10292.341;10242.098;10186.755;10125.939;10058.62;9988.459;9922.266;9867.632;9826.815;9858.071;9896.58;9876.346;9852.899;9821.039;9779.358;9727.804;9670.685;9624.66;9586.651;9602.006
Denmark;5999.444;5956.434;5855.41;5831.404;5814.422;5793.636;5764.979;5728.01;5683.483;5643.475;5614.932;5591.572;5570.572;5547.683;5523.095;5493.621;5461.438;5437.272;5419.432;5404.523;5390.574;5375.931;5358.783;5339.616;5321.799;5304.219;5284.991;5263.074;5233.372;5206.18;5188.628;5171.37;5154.298;5140.939;5132.594;5129.516;5127.024;5120.534;5113.691;5111.619;5114.297;5117.809;5121.572;5123.027;5116.801;5104.248;5088.419;5072.596;5059.862;5045.297;5021.861;4991.595;4963.126;4928.757;4891.86;4864.883;4835.354;4797.381;4759.012;4722.072;4684.483;4647.727;4611.687;4579.603
Germany;83965.771;83791.15;83195.871;83160.871;83092.962;82905.782;82657.002;82348.669;81686.611;80982.5;80645.605;80425.823;81039.751;81776.93;81902.307;82110.097;82266.372;82376.451;82469.422;82516.26;82534.176;82488.495;82349.925;82211.508;82100.243;82047.195;82034.771;81914.831;81678.051;81438.348;81156.363;80624.598;80013.896;79433.029;78751.283;78144.619;77839.92;77720.435;77684.873;77858.685;78128.282;78333.366;78407.907;78288.576;78126.35;78091.82;78159.814;78336.95;78673.554;78967.433;78936.666;78688.452;78312.842;78169.289;77909.682;77294.313;76951.336;76600.311;75963.695;75318.337;74714.353;74025.783;73377.631;72814.9
Estonia;1374.068;1369.069;1330.002;1329.522;1326.898;1321.977;1317.384;1315.789;1315.407;1315.345;1317.997;1322.696;1327.439;1331.475;1334.515;1337.09;1340.68;1346.81;1354.775;1362.55;1370.72;1379.35;1388.115;1396.985;1390.244;1386.156;1399.535;1415.594;1436.634;1462.514;1494.128;1533.091;1561.314;1569.174;1568.131;1561.9;1552.221;1540.19;1528.781;1518.617;1508.745;1498.414;1487.666;1477.219;1468.333;1460.188;1450.211;1439.576;1429.352;1418.169;1405.951;1392.518;1376.955;1360.076;1345.249;1331.213;1318.946;1308.597;1294.566;1277.086;1258.857;1241.623;1225.077;1211.537
Ireland;5145.057;5079.004;5023.721;4985.382;4934.34;4867.316;4807.388;4755.335;4701.957;4657.74;4623.816;4599.533;4580.084;4560.155;4535.375;4489.544;4398.942;4274.137;4159.914;4070.261;3996.521;3931.947;3866.243;3805.174;3754.786;3712.696;3674.171;3637.51;3608.841;3590.386;3576.261;3558.43;3534.235;3513.974;3511.009;3524.949;3540.056;3539.69;3539.209;3533.55;3510.6;3485.8;3453;3412.8;3373.75;3329.1;3282.2;3238.05;3189.55;3137.5;3085.95;3036.85;2992.05;2957.25;2932.65;2915.55;2902.45;2888.8;2877.3;2866.55;2852.65;2836.05;2824.4;2828.6
Greece;10577.328;10617.58;10657.832;10698.599;10721.582;10732.882;10754.679;10775.971;10820.883;10892.413;10965.211;11045.011;11104.899;11121.341;11107.017;11077.841;11048.473;11020.362;10987.314;10955.141;10928.07;10902.022;10862.132;10805.808;10761.698;10720.509;10661.259;10608.8;10562.153;10512.922;10460.414;10399.061;10319.927;10196.792;10089.498;10036.983;10000.595;9967.213;9934.3;9895.801;9846.627;9789.513;9729.35;9642.505;9548.258;9429.959;9308.479;9188.15;9046.541;8962.021;8929.086;8888.628;8831.036;8792.806;8772.764;8740.765;8684.088;8613.651;8550.333;8510.429;8479.625;8448.233;8398.05;8331.725
Spain;48098.815;47811.943;47338.558;47365.655;47134.837;46797.754;46593.235;46484.061;46444.832;46480.882;46620.045;46773.055;46742.697;46576.897;46362.946;45954.106;45226.803;44397.318;43653.155;42921.895;42187.645;41431.558;40850.412;40567.864;40386.875;40223.508;40057.389;39889.852;39724.05;39549.108;39361.262;39157.685;38966.376;38867.322;38827.764;38766.939;38684.815;38584.624;38469.512;38330.364;38171.525;37986.012;37758.631;37491.165;37191.33;36864.898;36511.638;36137.812;35757.9;35373.335;34988.947;34604.469;34224.49;33760.929;33449.084;33121.095;32730.141;32330.765;31961.967;31616.794;31304.169;31030.823;30774.761;30263.269
France;68324.12;68092.605;67677.54;67488.449;67248.926;67101.93;66918.02;66724.104;66548.272;66312.067;65883.165;65438.667;65127.852;64818.788;64504.541;64178.71;63826.129;63437.35;63001.253;62532.556;62078.165;61644.062;61201.676;60762.169;60351.778;60046.709;59830.635;59624.341;59418.718;59209.73;58995.125;58745.39;58459.145;58185.432;57892.575;57579.193;57277.522;56992.846;56723.779;56458.864;56198.6;55911.384;55592.618;55282.953;55002.045;54766.148;54529.099;54286.324;54071.366;53826.341;53475.371;53047.117;52585.585;52094.249;51628.172;51215.116;50838.458;50443.803;50027.366;49568.336;49061.271;48221.444;47364.83;46873.766
