Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;864.68;858.669;852.7;833;818.7;804.4;791.2;778.4;766.2;756.1;749.9;743.1;734.9;727.5;721.9;715.6;705.6;699.1;694.5;691.7;688.7;689;695.8;701.9;705;704.9;705.7;704.4;698.3;697;696;686;683;675;667;657;649;642;637;632;625;618;613;610.804;614.241;611.32;608.197;611.421;618.874;625.422;632.976;645.265;662.792;683.643;709.127;721.114;726.654;729.474;745.288;775.91;825.367;867.472;883.185;899.604
Bulgaria;860.26;860.26;860.26;878.45;887.38;915.69;940.96;887.27;915.36;927.94;910.53;896.46;937.5;976.36;1001.68;1008.14;986.3;980.92;972.32;971.5;952.4;941.51;942.35;913.85;921.53;942.68;907.98;874.48;800.47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Czechia;710.356;709.646;702.62;743.21;752.24;763.88;764.39;764.82;763.54;775.1;785.07;809.28;813.29;805.84;773.98;759.09;763.34;754.89;742.34;776.01;803.03;753.57;705.07;704.43;695.24;671.4;616.66;612.07;601.79;537.86;476.359;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Denmark;176.57;174.822;175.7;178.71;180.18;181.66;180.98;180.26;183.61;179.85;179.7;181.39;183.58;184.07;188.57;194.37;195.46;195.12;194.48;195.37;205.14;207.63;202.5;205.44;210.21;211.2;214.73;219.48;222.04;228.64;238.43;243.43;239.72;241.39;256.8;267.91;275.83;281.09;283.8;288.9;295.41;303.17;311.21;323.27;337.01;348.24;355.17;359.48;363.88;370.91;376.12;380.36;387.05;394.47;403.3;410.15;417.63;425.74;433.335;425.293;423.506;419.039;420.826;423.506
Germany;3916.249;3916.249;3929;4038;4151;4223;4273;4341;4405;4459;4495;4522;4527;4515;4492;4479;4469;4436;4381;4261;4134;4062;4027;4013;3991;3963;3915;3856;3797;3747;3669;3608;3563;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Estonia;71.297;70.591;70.1;67.7;70;68;66;59.5;58.3;56.1;56.3;53.8;51.3;47.1;48.7;51.1;59.9;52.8;48.2;57.8;53;46.2;47.5;50.8;49.9;51.9;48.5;46.4;43.6;61.2;57.5;46.7;34.4;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ireland;347.511;341.702;335.99;333.36;334.52;339.08;337.06;343.57;335.94;329.85;326.53;313.42;315.04;329.49;345.45;371.77;362.49;334.2;332.5;330.18;317.82;317.28;317.15;314.4;312.1;302.3;255.49;247.54;247.62;252;252.997;254.425;247.244;265;250.236;254.141;246.521;238.424;244.806;258.142;261.952;257.189;256.237;268.62;279.098;280.051;280.051;282.908;287.671;290.529;295.291;298.149;301.959;312.437;323.868;331.489;338.156;346.729;349.587;359.113;367.686;377.211;383.879;392.452
Greece;1295.434;1281.339;1271.17;1258.23;1255.33;1273.14;1297.52;1315.49;1343.58;1454.99;1447.97;1475.54;1503.15;1568.18;1638.19;1641.53;1643.91;1661.48;1690.2;1590.21;1579.56;1581.62;1587.85;1628.9;1653.86;1707.16;1643.93;1664.34;1679.87;1684.733;1653.379;1661.454;1621.353;1665.435;1675.019;1703.301;1694.562;1716.267;1708.75;1674.643;1701.703;1669.757;1719.744;1588.858;1606.898;1609.341;1609.717;1619.113;1622.214;1650.965;1679.623;1688.643;1710.066;1748.777;1782.133;1814.455;1872.24;1930.777;1975.032;2025.019;2073.878;2134.2;2189.354;2216.414
Spain;2901.703;2870.131;2792.5;2734.3;2825.7;2805;2800.5;2821.1;2781.3;2748.4;2736;2717.3;2693.9;2754.8;2817.3;3019.2;3038.2;3019.6;3000.4;2952;2882.6;2889.5;2873.9;2835.1;2780.2;2759.6;2704.6;2789.2;2786.7;2785.683;2815.755;2914.538;2867.192;2958.667;2971.105;3080.062;3059.222;2944.873;2982.745;3067.809;3056.247;3038.328;3105.343;3139.867;3214.366;3247.116;3304.781;3389.03;3482.172;3623.024;3711.867;3710.434;3890.65;3965.585;4112.927;4170.835;4176.23;4160.383;4186.429;4256.56;4248.13;4219.478;4172.68;4154.534
France;3043.176;3035.588;3025;3008;3012;2918;2877;2851;2852;2851;2799;2692;2603;2505;2438;2424;2404;2381;2353;2316;2295;2296;2305;2334;2347;2365;2411;2466;2538;2621;2719;2851;2984;3090;3162;3212;3245;3284;3321;3392;3457;3502;3574;3623;3662;3693;3741;3799;3867;3956;4041;4141;4274;4404;4542;4699;4827;4923;5020;5124;5236;5359;5496;5643
