Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Belgium;277.7148;261.2551;243.8452;230.2489;234.5742;226.4093;219.2205;211.8132;208.1279;206.2012;203.6058;199.806;193.1709;184.7111;180.9057;179.6282;170.1056;161.3932;153.9854;148.8507;144.6686;141.9848;135.7096;128.5636;122.9643;116.8765;112.8635;108.6395;106.5048;103.4726;99.6123;96.2754;91.678;85.1976;79.0451;73.6945;70.719;68.922;66.1541;62.8526;58.6764;56.2334;53.3076;50.9734;46.1592;43.1271;40.1703;37.0121;32.1203;27.9794;23.1413;20.0271;17.4144;15.2836;13.613;12.2763;11.5529;10.7887;9.8429;8.8938;7.8877;7.169;6.5247;6.2194
Bulgaria;71.84082;66.39632;60.36029;54.57524;52.37116;48.23805;43.62006;39.34773;36.53802;34.25022;32.49939;30.21385;28.56231;27.17078;25.85067;24.43126;20.42507;17.40729;15.70339;13.84657;12.68486;11.746;11.04476;9.96802;9.34916;9.23344;5.96921;0.65799;0.3799;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Czechia;3102.824;2938.28;2801.03;2622.305;2585.613;2399.164;2185.084;2002.589;1891.335;1799.718;1735.35;1719.788;1677.353;1639.68;1610.11;1661.212;1550.227;1428.038;1330.849;1242.104;1145.46;1085.736;1012.222;936.368;879;853.027;811.184;740.884;630.08;557.663;466.826;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Denmark;1418.041;1362.191;1288.733;1213.972;1194.335;1154.314;1118.479;1083.211;1049.061;1017.743;993.804;977.516;966.474;953.668;945.677;949.819;902.639;848.967;800.932;762.991;741.113;722.152;696.905;662.277;635.827;605.624;572.745;546.12;518.7;496.432;480.819;478.117;464.902;450.271;432.128;414.491;393.322;362.841;336.627;311.367;288.504;263.929;232.681;214.133;194.401;173.968;156.923;141.806;123.924;110.26;93.844;81.826;73.729;65.214;57.58;50.493;45.385;40.777;36.593;31.579;27.831;26.271;23.154;20.097
Germany;2093.208;2000.448;1916.905;1847.868;1852.846;1771.221;1693.096;1622.728;1561.976;1501.769;1444.171;1403.513;1349.842;1293.606;1256.914;1250.708;1204.279;1170.728;1150.761;1152.296;1148.715;1145.07;1138.37;1120.347;1077.083;1046.887;1024.739;1020.661;1011.385;974.663;948.855;926.427;853.459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Estonia;16.94298;16.0597;14.91151;13.89481;13.55674;12.37333;11.31765;10.37967;9.76107;9.16891;8.53081;7.997;7.45161;6.86362;7.04694;8.19518;7.33987;5.90041;4.92157;4.26717;3.84951;3.42485;3.10188;2.78387;2.4696;2.39506;2.16358;1.8077;1.4484;1.0576;0.70582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ireland;126.915;116.9724;109.4222;101.1835;100.5025;93.8147;88.2695;82.4707;77.4146;72.987;70.2141;69.2837;68.635;69.6447;74.3969;81.8207;79.7817;72.8451;66.16;59.3938;54.6721;50.2038;46.8948;41.9234;36.8657;32.7441;29.0793;26.0921;23.9657;22.0144;20.692;19.2113;17.8948;16.8375;15.5724;14.5887;13.7686;13.09;12.2438;11.4229;10.5257;9.6304;8.4401;7.1224;5.7326;4.6179;3.8671;3.2727;2.7515;2.1511;1.7766;1.4593;1.2486;1.0774;0.9234;0.7982;0.7117;0.6564;0.6049;0.5678;0.4893;0.4544;0.4101;0.3747
Greece;72.56195;70.17597;66.89797;65.79577;67.47632;65.90005;63.85342;62.99194;61.77031;62.54083;62.26307;67.85326;74.33089;80.47399;84.8745;82.94743;78.4409;73.06611;68.27067;64.13794;59.46146;54.04809;46.90618;43.48162;40.74166;37.45874;33.76167;29.63406;27.20397;23.56956;20.86171;18.58504;16.60268;14.51284;11.93601;9.46773;7.66955;6.81638;6.06928;4.86884;3.98073;3.30661;2.57095;2.07556;1.72335;1.37732;1.10921;0.88811;0.70103;0.56929;0.46601;0.38592;0.33304;0.29655;0.26563;0.23749;0.21213;0.18987;0.16606;0.1441;0.12617;0.11534;0.10576;0.0971
Spain;636.7891;608.4941;572.97;543.856;575.889;545.718;523.665;503.724;492.892;473.531;467.521;481.4;513.328;526.813;530.045;544.126;508.424;471.451;435.033;405.363;379.836;358.651;336.894;316.224;290.39;270.202;251.716;232.076;219.818;207.1143;200.4283;191.9188;176.2715;156.7127;135.7286;119.688;106.7644;94.9457;83.83;77.1898;72.1895;63.8285;56.3898;50.2604;44.359;38.0441;31.0255;24.4394;19.8679;16.3037;13.1398;10.7766;8.8718;7.6579;6.7706;5.9175;5.3578;4.621;3.8659;3.277;2.8619;2.3527;2.0285;1.7952
France;1391.647;1341.993;1277.602;1194.661;1242.871;1231.533;1199.841;1163.287;1141.421;1126.701;1109.469;1092.356;1068.929;1040.212;1013.013;1010.192;979.93;942.012;903.162;871.162;841.72;817.774;785.431;751.506;712.455;681.06;656.177;639.569;622.234;600.828;588.763;579.326;557.854;534.318;500.487;470.148;445.178;426.65;406.582;384.137;357.697;325.576;283.796;249.939;217.398;191.414;168.994;148.592;127.762;108.284;90.584;78.729;70.429;62.434;54.985;48.026;42.671;39.458;36.59;33.879;30.396;26.554;23.487;21.005
Croatia;218.2844;208.8846;199.8896;188.4757;186.8855;180.8334;168.8908;161.4292;157.1252;154.1801;153.4559;156.3741;157.9968;158.5394;163.4115;164.6115;152.8913;139.1178;129.6327;122.0416;114.7133;103.7466;93.3971;91.5597;85.4166;79.876;70.0956;60.7774;53.4323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Italy;785.824;760.9812;724.6285;672.8022;721.5226;706.9777;684.0541;667.2222;651.5832;638.3594;636.5553;642.568;651.4771;642.6246;634.8194;639.2773;617.3445;594.8453;569.23;545.6142;526.41;505.2862;482.8456;457.9404;440.1697;424.9045;426.4766;406.9275;381.0804;366.7209;358.5632;351.6769;335.6087;306.2938;273.7196;249.844;227.7025;209.9191;194.2784;173.9633;155.9511;135.749;116.5568;95.8482;77.8694;64.2158;55.4414;45.4587;37.0055;30.6854;24.5502;20.4253;18.331;15.9473;13.6379;12.3773;11.3831;10.2912;9.6228;9.0758;8.1479;6.697;5.7559;5.1785
Cyprus;11.71322;10.99833;10.4746;9.88473;10.26431;9.44147;8.80169;8.19685;7.89609;7.86996;8.34282;9.37561;9.51737;9.22378;8.92285;8.37927;7.63106;6.93096;6.38534;5.7158;5.36485;4.83821;4.48594;4.2096;3.90763;3.66663;3.49614;3.27471;3.09787;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Latvia;18.59661;17.4616;16.42672;15.21806;14.97079;13.90981;12.52565;11.6091;10.89371;10.09555;9.44924;8.75263;8.03855;7.71056;8.8406;11.75203;9.98656;7.07483;5.47593;4.23361;3.67155;3.21521;3.00116;2.83856;2.68395;2.51524;2.31523;2.08335;1.66799;1.3614;1.00601;0.54544;0.08876;0.0434;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Lithuania;31.25699;29.41675;27.01281;23.97957;22.65702;20.38407;18.56173;17.01226;15.6445;14.60816;13.7362;12.9634;12.27743;11.46997;11.97825;14.35507;12.3259;10.2773;8.52002;7.31009;6.44304;5.81031;5.36529;5.22285;5.45377;5.41539;4.5364;3.69065;2.90195;2.01459;1.33143;0.37193;0.05497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Luxembourg;39.51485;37.22899;34.63162;31.93116;31.24807;29.61424;27.76546;25.99445;25.05809;24.04154;22.98006;21.90433;21.10747;19.73589;19.02172;18.56726;17.25097;15.84229;14.61204;13.6481;12.87171;12.45955;11.63848;10.65604;9.55427;8.6838;8.21066;7.74312;7.34435;7.05953;6.60911;6.1375;5.60338;5.08495;4.63213;4.10544;3.82884;3.57063;3.30216;3.1103;2.88044;2.69934;2.52397;2.29829;2.0791;1.92307;1.8217;1.65107;1.481;1.29114;1.01099;0.8821;0.77469;0.69056;0.58207;0.53803;0.50571;0.494;0.46165;0.43345;0.36948;0.33934;0.31889;0.30273
Hungary;26401.59;24618.2;22215.68;20004.13;19716.36;18300.03;16861.71;15503.99;14594.67;13993.4;13254.8;12883.3;12401.25;11943.68;11893.49;12334.32;11744.39;11092.95;10425.29;9587.32;8700.79;7692.35;6907.15;5910.39;5019.21;4592.38;3901.4;3161.2;2627.87;2210.13;1900.99;1601.72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Malta;7.271741;6.925468;6.53346;6.08491;5.98061;5.46432;4.98429;4.49849;4.09665;3.71673;3.45579;3.24602;3.07094;2.86922;2.74083;2.67697;2.51499;2.38544;2.23645;2.17144;2.13252;2.00817;1.94094;1.79739;1.72301;1.64524;1.55413;1.49447;1.38754;1.230992;1.147878;1.028302;0.948969;0.855238;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
